(u'barnesandnoble.com', 'barnesandnobles.com.', 'barnesandnobles.com', u'typo', '185.53.177.20')
(u'barnesandnoble.com', 'barnasandnoble.com.', 'barnasandnoble.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnboble.com.', 'barnesandnboble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'burnesandnoble.com.', 'burnesandnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barbnesandnoble.com.', 'barbnesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble.website.', 'barnesandnoble.website', 'wrongTLD', '66.147.244.127')
(u'barnesandnoble.com', 'barnesandnoblke.com.', 'barnesandnoblke.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandmnoble.com.', 'barnesandmnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'bnarnesandnoble.com.', 'bnarnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnerandnoble.com.', 'barnerandnoble.com', u'bits', '185.53.179.7')
(u'barnesandnoble.com', 'barnesandnobel.ca.', 'barnesandnobel.ca', u'typo', '75.119.204.182')
(u'barnesandnoble.com', 'barnesendnoble.com.', 'barnesendnoble.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'brnesandnoble.com.', 'brnesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnobleu.com.', 'barnesandnobleu.com', u'typo', '65.204.48.174')
(u'barnesandnoble.com', 'barnesandnoble.mobi.', 'barnesandnoble.mobi', 'wrongTLD', '65.204.48.119')
(u'barnesandnoble.com', 'barnesand-noble.com.', 'barnesand-noble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnseandnoble.com.', 'barnseandnoble.com', u'typo', '72.52.4.122')
(u'barnesandnoble.com', 'barnbesandnoble.com.', 'barnbesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'ba5nesandnoble.com.', 'ba5nesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barneesandnoble.com.', 'barneesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barbesandnoble.com.', 'barbesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoble.net.', 'barnesandnoble.net', 'wrongTLD', '161.221.74.213')
(u'barnesandnoble.com', 'barnesanrnoble.com.', 'barnesanrnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble.ru.', 'barnesandnoble.ru', 'wrongTLD', '194.58.112.165')
(u'barnesandnoble.com', 'barnesandonble.com.', 'barnesandonble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoble.net.', 'barnesandnoble.net', 'wrongTLD', '65.204.48.118')
(u'barnesandnoble.com', 'barnesandnloble.com.', 'barnesandnloble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'baernesandnoble.com.', 'baernesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'bsarnesandnoble.com.', 'bsarnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barresandnoble.com.', 'barresandnoble.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'barjnesandnoble.com.', 'barjnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoblle.com.', 'barnesandnoblle.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnovble.com.', 'barnesandnovble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesamdnoble.com.', 'barnesamdnoble.com', u'homo', '103.224.182.252')
(u'barnesandnoble.com', 'barnedsandnoble.com.', 'barnedsandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'banesandnoble.net.', 'banesandnoble.net', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble-locations.com.', 'barnesandnoble-locations.com', 'combo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesaqndnoble.com.', 'barnesaqndnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnosandnoble.com.', 'barnosandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barneasandnoble.com.', 'barneasandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnioble.com.', 'barnesandnioble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandn9ble.com.', 'barnesandn9ble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnodle.com.', 'barnesandnodle.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barneswndnoble.com.', 'barneswndnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnobled.com.', 'barnesandnobled.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoblee.com.', 'barnesandnoblee.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barmnesandnoble.com.', 'barmnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'batrnesandnoble.com.', 'batrnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barn3sandnoble.com.', 'barn3sandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnisandnoble.com.', 'barnisandnoble.com', u'homo', '52.52.64.247')
(u'barnesandnoble.com', 'barnmesandnoble.com.', 'barnmesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'bsarnesandnoble.com.', 'bsarnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnezandnoble.com.', 'barnezandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoble-inc.com.', 'barnesandnoble-inc.com', 'combo', '52.52.18.176')
(u'barnesandnoble.com', 'barnsesandnoble.com.', 'barnsesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesanddnoble.com.', 'barnesanddnoble.com', u'typo', '46.166.189.98')
(u'barnesandnoble.com', 'bamesandnoble.com.', 'bamesandnoble.com', u'homo', '37.48.65.143')
(u'barnesandnoble.com', 'barnesandnoble.top.', 'barnesandnoble.top', 'wrongTLD', '103.232.215.145')
(u'barnesandnoble.com', 'bartnesandnoble.com.', 'bartnesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'www-barnesandnoble.com.', 'www-barnesandnoble.com', 'combo', '52.52.64.247')
(u'barnesandnoble.com', 'barnasandnoble.com.', 'barnasandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barnrsandnoble.com.', 'barnrsandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandoble.com.', 'barnesandoble.com', u'typo', '208.91.196.94')
(u'barnesandnoble.com', 'barneasandnoble.com.', 'barneasandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnes-andnoble.com.', 'barnes-andnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'abrnesandnoble.com.', 'abrnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barbnesandnoble.com.', 'barbnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnhesandnoble.com.', 'barnhesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnboble.com.', 'barnesandnboble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandmnoble.com.', 'barnesandmnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoblei.com.', 'barnesandnoblei.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnobpe.com.', 'barnesandnobpe.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoblke.com.', 'barnesandnoblke.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesabdnoble.com.', 'barnesabdnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'bwarnesandnoble.com.', 'bwarnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'ba4nesandnoble.com.', 'ba4nesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barn3sandnoble.com.', 'barn3sandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnoblec.com.', 'barnesandnoblec.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'bnarnesandnoble.com.', 'bnarnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'bornesandnoble.com.', 'bornesandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesendnoble.com.', 'barnesendnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'burnesandnoble.com.', 'burnesandnoble.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnoble-sucks.com.', 'barnesandnoble-sucks.com', 'combo', '173.236.194.118')
(u'barnesandnoble.com', 'barjesandnoble.com.', 'barjesandnoble.com', u'bits', '52.86.163.26')
(u'barnesandnoble.com', 'baresandnoble.com.', 'baresandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'ba5nesandnoble.com.', 'ba5nesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnocle.com.', 'barnesandnocle.com', u'bits', '52.52.64.247')
(u'barnesandnoble.com', 'bzrnesandnoble.com.', 'bzrnesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnedandnoble.com.', 'barnedandnoble.com', u'typo', '98.124.199.78')
(u'barnesandnoble.com', 'barnesandnoble.eu.', 'barnesandnoble.eu', 'wrongTLD', '52.58.78.16')
(u'barnesandnoble.com', 'barnesanrnoble.com.', 'barnesanrnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnobel.net.', 'barnesandnobel.net', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'bazrnesandnoble.com.', 'bazrnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnobole.com.', 'barnesandnobole.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'baernesandnoble.com.', 'baernesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnobl3.com.', 'barnesandnobl3.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'abrnesandnoble.com.', 'abrnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnoble.de.', 'barnesandnoble.de', 'wrongTLD', '193.159.232.8')
(u'barnesandnoble.com', 'barnsandnoble.org.', 'barnsandnoble.org', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'banesandnoble.net.', 'banesandnoble.net', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnobel.com.', 'barnesandnobel.com', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'barnesanxnoble.com.', 'barnesanxnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnovble.com.', 'barnesandnovble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barbesandnoble.com.', 'barbesandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnobloe.com.', 'barnesandnobloe.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoble-locations.com.', 'barnesandnoble-locations.com', 'combo', '52.86.163.26')
(u'barnesandnoble.com', 'bvarnesandnoble.com.', 'bvarnesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnloble.com.', 'barnesandnloble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnioble.com.', 'barnesandnioble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesaqndnoble.com.', 'barnesaqndnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesanednoble.com.', 'barnesanednoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandfoble.com.', 'barnesandfoble.com', u'bits', '23.22.216.234')
(u'barnesandnoble.com', 'barneswndnoble.com.', 'barneswndnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnonble.com.', 'barnesandnonble.com', u'typo', '72.52.4.122')
(u'barnesandnoble.com', 'barjesandnoble.com.', 'barjesandnoble.com', u'bits', '52.52.64.247')
(u'barnesandnoble.com', 'barnesndnoble.com.', 'barnesndnoble.com', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'barnesandnobkle.com.', 'barnesandnobkle.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'bazrnesandnoble.com.', 'bazrnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandn9ble.com.', 'barnesandn9ble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barn4sandnoble.com.', 'barn4sandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnbole.com.', 'barnesandnbole.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'batrnesandnoble.com.', 'batrnesandnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnooble.com.', 'barnesandnooble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnsandnoble.org.', 'barnsandnoble.org', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnisandnoble.com.', 'barnisandnoble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoble.press.', 'barnesandnoble.press', 'wrongTLD', '161.221.74.19')
(u'barnesandnoble.com', 'barnesandnoble-inc.com.', 'barnesandnoble-inc.com', 'combo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnoble-couponcode.com.', 'barnesandnoble-couponcode.com', 'combo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnodle.com.', 'barnesandnodle.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnobled.com.', 'barnesandnobled.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesandnuble.com.', 'barnesandnuble.com', u'homo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnobloe.com.', 'barnesandnobloe.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnwsandnoble.com.', 'barnwsandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barneseandnoble.com.', 'barneseandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'bvarnesandnoble.com.', 'bvarnesandnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesandnoble.xxx.', 'barnesandnoble.xxx', 'wrongTLD', '199.253.28.9')
(u'barnesandnoble.com', 'barnesabndnoble.com.', 'barnesabndnoble.com', u'typo', '52.52.64.247')
(u'barnesandnoble.com', 'barnesdandnoble.com.', 'barnesdandnoble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'barnesannoble.com.', 'barnesannoble.com', u'typo', '144.76.1.130')
(u'barnesandnoble.com', 'barnesandnopble.com.', 'barnesandnopble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnobe.com.', 'barnesandnobe.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnhesandnoble.com.', 'barnhesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'www-barnesandnoble.com.', 'www-barnesandnoble.com', 'combo', '23.22.216.234')
(u'barnesandnoble.com', 'barnesandnoble.tv.', 'barnesandnoble.tv', 'wrongTLD', '161.221.74.213')
(u'barnesandnoble.com', 'barnesandnjoble.com.', 'barnesandnjoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesanmdnoble.com.', 'barnesanmdnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'barnesandnoible.com.', 'barnesandnoible.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barnes-andnoble.com.', 'barnes-andnoble.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'bernesandnoble.com.', 'bernesandnoble.com', u'homo', '52.52.18.176')
(u'barnesandnoble.com', 'darnesandnoble.com.', 'darnesandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'baenesandnoble.com.', 'baenesandnoble.com', u'typo', '103.224.182.252')
(u'barnesandnoble.com', 'ba4nesandnoble.com.', 'ba4nesandnoble.com', u'typo', '52.86.163.26')
(u'barnesandnoble.com', 'basrnesandnoble.com.', 'basrnesandnoble.com', u'typo', '98.124.245.24')
(u'barnesandnoble.com', 'barnesandnoblei.com.', 'barnesandnoblei.com', u'typo', '23.22.216.234')
(u'barnesandnoble.com', 'burnesandnoble.com.', 'burnesandnoble.com', u'homo', '52.86.163.26')
(u'barnesandnoble.com', 'barnesandnpoble.com.', 'barnesandnpoble.com', u'typo', '98.124.245.24')
(u'barnesandnoble.com', 'barnesandnobl.net.', 'barnesandnobl.net', u'typo', '161.221.74.213')
(u'barnesandnoble.com', 'banresandnoble.com.', 'banresandnoble.com', u'typo', '51.254.28.160')
(u'barnesandnoble.com', 'barnesandnobl.net.', 'barnesandnobl.net', u'typo', '65.204.48.118')
(u'barnesandnoble.com', 'barnesandnboble.com.', 'barnesandnboble.com', u'typo', '52.52.18.176')
(u'barnesandnoble.com', 'banresandnoble.com.', 'banresandnoble.com', u'typo', '51.254.28.162')
(u'barnesandnoble.com', 'barnesandnobl.com.', 'barnesandnobl.com', u'typo', '161.221.74.213')
(u'barnesandnoble.com', 'barnesaandnoble.com.', 'barnesaandnoble.com', u'typo', '98.124.245.24')
