(u'trustpilot.com', 'trustpilot.kz.', 'trustpilot.kz', 'wrongTLD', '91.201.214.201')
(u'trustpilot.com', 'trustpilot.solutions.', 'trustpilot.solutions', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.tw.', 'trustpilot.tw', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.jp.', 'trustpilot.jp', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpiot.com.ph.', 'trustpiot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'rustpilot.com.ph.', 'rustpilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.cz.', 'trustpilot.cz', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trust-pilot.net.', 'trust-pilot.net', u'typo', '104.24.101.153')
(u'trustpilot.com', 'trustpiolot.com.', 'trustpiolot.com', u'typo', '173.239.8.164')
(u'trustpilot.com', 'trustpilot-problems.com.', 'trustpilot-problems.com', 'combo', '50.63.202.50')
(u'trustpilot.com', 'trustpilot.si.', 'trustpilot.si', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.co.uk.', 'trustpilot.co.uk', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'it-trustpilot.com.', 'it-trustpilot.com', 'combo', '160.153.162.194')
(u'trustpilot.com', 'trustpilot.ee.', 'trustpilot.ee', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.tw.', 'trustpilot.tw', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'truspilot.com.', 'truspilot.com', u'typo', '103.224.182.251')
(u'trustpilot.com', 'trustpilot.jp.', 'trustpilot.jp', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilit.com.', 'trustpilit.com', u'homo', '54.217.222.113')
(u'trustpilot.com', 'trustpilot.tk.', 'trustpilot.tk', 'wrongTLD', '195.20.45.98')
(u'trustpilot.com', 'trustpilot.nl.', 'trustpilot.nl', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.de.', 'trustpilot.de', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trutpilot.com.ph.', 'trutpilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpliot.com.', 'trustpliot.com', u'typo', '185.53.179.7')
(u'trustpilot.com', 'trustpilot.solutions.', 'trustpilot.solutions', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trutspilot.nl.', 'trutspilot.nl', u'typo', '94.228.131.95')
(u'trustpilot.com', 'trustpilot.org.', 'trustpilot.org', 'wrongTLD', '46.235.43.3')
(u'trustpilot.com', 'trustpilot.uy.', 'trustpilot.uy', 'wrongTLD', '37.34.50.131')
(u'trustpilot.com', 'trustpilot.fr.', 'trustpilot.fr', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpillot.com.', 'trustpillot.com', u'typo', '185.53.179.8')
(u'trustpilot.com', 'trustpiolot.com.', 'trustpiolot.com', u'typo', '213.247.47.190')
(u'trustpilot.com', 'trustpilot.com.cn.', 'trustpilot.com.cn', 'wrongTLD', '150.242.126.34')
(u'trustpilot.com', 'trustpilot.nl.', 'trustpilot.nl', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.de.', 'trustpilot.de', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trstpilot.com.ph.', 'trstpilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'tustpilot.com.', 'tustpilot.com', u'typo', '141.8.224.169')
(u'trustpilot.com', 'tustpilot.com.ph.', 'tustpilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.is.', 'trustpilot.is', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.ws.', 'trustpilot.ws', 'wrongTLD', '64.70.19.203')
(u'trustpilot.com', 'trustpilot.com.ph.', 'trustpilot.com.ph', 'wrongTLD', '45.79.222.138')
(u'trustpilot.com', 'trustplot.com.', 'trustplot.com', u'typo', '103.224.182.241')
(u'trustpilot.com', 'trust-pilot.net.', 'trust-pilot.net', u'typo', '104.24.100.153')
(u'trustpilot.com', 'trustpilot.co.uk.', 'trustpilot.co.uk', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpiolot.com.', 'trustpiolot.com', u'typo', '173.239.5.6')
(u'trustpilot.com', 'trustpilot.sg.', 'trustpilot.sg', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.co.il.', 'trustpilot.co.il', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.io.', 'trustpilot.io', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'frustpilot.com.', 'frustpilot.com', u'typo', '89.31.143.1')
(u'trustpilot.com', 'trustpilot.lt.', 'trustpilot.lt', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustpilot.reviews.', 'trustpilot.reviews', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.fr.', 'trustpilot.fr', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.md.', 'trustpilot.md', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trsutpilot.com.', 'trsutpilot.com', u'typo', '103.224.182.251')
(u'trustpilot.com', 'trustpilot.info.', 'trustpilot.info', 'wrongTLD', '72.52.4.119')
(u'trustpilot.com', 'trustpilot.ge.', 'trustpilot.ge', 'wrongTLD', '52.210.183.180')
(u'trustpilot.com', 'trustilot.com.ph.', 'trustilot.com.ph', u'typo', '45.79.222.138')
(u'trustpilot.com', 'trustpilot.ec.', 'trustpilot.ec', 'wrongTLD', '37.34.50.131')
(u'trustpilot.com', 'trustpilot.cn.', 'trustpilot.cn', 'wrongTLD', '150.242.126.34')
(u'trustpilot.com', 'trustypilot.com.', 'trustypilot.com', u'typo', '184.168.221.42')
(u'trustpilot.com', 'trustpilot.xyz.', 'trustpilot.xyz', 'wrongTLD', '72.52.4.119')
(u'trustpilot.com', 'trustpilot.is.', 'trustpilot.is', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.tj.', 'trustpilot.tj', 'wrongTLD', '34.250.123.191')
(u'trustpilot.com', 'trustpilot.sg.', 'trustpilot.sg', 'wrongTLD', '34.250.123.191')
