(u'literotica.com', 'ilterotica.com.', 'ilterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'loterotica.com.', 'loterotica.com', u'homo', '72.52.4.122')
(u'literotica.com', 'free-literotica.com.', 'free-literotica.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literot8ca.com.', 'literot8ca.com', u'typo', '185.53.179.8')
(u'literotica.com', 'literotics.org.', 'literotics.org', u'typo', '185.53.178.14')
(u'literotica.com', 'literotica-cams.com.', 'literotica-cams.com', 'combo', '98.124.245.24')
(u'literotica.com', 'lifterotica.com.', 'lifterotica.com', u'typo', '173.239.8.164')
(u'literotica.com', 'literotica.cc.', 'literotica.cc', 'wrongTLD', '98.124.199.46')
(u'literotica.com', 'literotixca.com.', 'literotixca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica-stories.com.', 'literotica-stories.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literotica.xyz.', 'literotica.xyz', 'wrongTLD', '162.211.224.72')
(u'literotica.com', 'literotica.party.', 'literotica.party', 'wrongTLD', '199.73.55.35')
(u'literotica.com', 'literotika.net.', 'literotika.net', u'bits', '69.172.201.153')
(u'literotica.com', 'oiterotica.com.', 'oiterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotoca.com.', 'literotoca.com', u'homo', '162.210.196.167')
(u'literotica.com', 'literotica.porn.', 'literotica.porn', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'liteortica.com.', 'liteortica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'ljterotica.com.', 'ljterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.adult.', 'literotica.adult', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literoticu.com.', 'literoticu.com', u'homo', '98.124.245.24')
(u'literotica.com', 'literotuca.com.', 'literotuca.com', u'homo', '98.124.245.24')
(u'literotica.com', 'litertoica.com.', 'litertoica.com', u'typo', '209.15.13.134')
(u'literotica.com', 'lkiterotica.com.', 'lkiterotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'litetrotica.com.', 'litetrotica.com', u'typo', '213.247.47.190')
(u'literotica.com', 'literoticax.com.', 'literoticax.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '37.48.65.143')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '37.48.65.145')
(u'literotica.com', 'litertica.com.', 'litertica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literotlca.com.', 'literotlca.com', u'homo', '98.124.245.24')
(u'literotica.com', 'liferotica.com.', 'liferotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litarotica.com.', 'litarotica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'leterotica.com.', 'leterotica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'liuterotica.com.', 'liuterotica.com', u'typo', '213.247.47.190')
(u'literotica.com', 'litrotica.net.', 'litrotica.net', u'typo', '209.15.13.134')
(u'literotica.com', 'e-literotica.com.', 'e-literotica.com', 'combo', '98.124.245.24')
(u'literotica.com', 'llterotica.com.', 'llterotica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'literotics.net.', 'literotics.net', u'typo', '54.72.9.51')
(u'literotica.com', 'laterotica.com.', 'laterotica.com', u'homo', '199.59.242.150')
(u'literotica.com', 'liperotica.com.', 'liperotica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'xn--literotic-81a.com.', u'literotic\xe1.com', u'homo', '185.53.178.7')
(u'literotica.com', 'literorica.org.', 'literorica.org', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticq.com.', 'literoticq.com', u'bits', '185.53.178.14')
(u'literotica.com', 'literotyca.com.', 'literotyca.com', u'bits', '98.124.245.24')
(u'literotica.com', 'litwerotica.com.', 'litwerotica.com', u'typo', '173.239.2.182')
(u'literotica.com', 'litetrotica.com.', 'litetrotica.com', u'typo', '173.239.5.6')
(u'literotica.com', 'liteerotica.net.', 'liteerotica.net', u'typo', '176.74.176.187')
(u'literotica.com', 'liter0tica.com.', 'liter0tica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'miterotica.com.', 'miterotica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'lizerotica.com.', 'lizerotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literiotica.com.', 'literiotica.com', u'typo', '208.91.196.105')
(u'literotica.com', 'liteotica.com.', 'liteotica.com', u'typo', '103.224.182.218')
(u'literotica.com', 'literotic.biz.', 'literotic.biz', u'typo', '69.64.147.32')
(u'literotica.com', '1iterotica.com.', '1iterotica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'liuterotica.com.', 'liuterotica.com', u'typo', '173.239.5.6')
(u'literotica.com', 'lizerotica.co.uk.', 'lizerotica.co.uk', u'typo', '104.28.23.33')
(u'literotica.com', 'lirerotica.com.', 'lirerotica.com', u'typo', '209.15.13.134')
(u'literotica.com', 'literoticam.com.', 'literoticam.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litdrotica.com.', 'litdrotica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literotioca.com.', 'literotioca.com', u'typo', '185.53.179.6')
(u'literotica.com', 'loiterotica.com.', 'loiterotica.com', u'typo', '37.48.65.136')
(u'literotica.com', 'kiterotica.com.', 'kiterotica.com', u'typo', '103.224.182.218')
(u'literotica.com', 'litferotica.com.', 'litferotica.com', u'typo', '173.239.5.6')
(u'literotica.com', 'literotica.jp.', 'literotica.jp', 'wrongTLD', '185.26.230.130')
(u'literotica.com', 'literotica-tv.com.', 'literotica-tv.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literoticz.com.', 'literoticz.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litetrotica.com.', 'litetrotica.com', u'typo', '173.239.8.164')
(u'literotica.com', 'lizerotica.co.uk.', 'lizerotica.co.uk', u'typo', '104.28.22.33')
(u'literotica.com', 'literotica.biz.', 'literotica.biz', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotici.com.', 'literotici.com', u'homo', '98.124.245.24')
(u'literotica.com', 'liderotica.com.', 'liderotica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literotic.de.', 'literotic.de', u'typo', '141.8.224.48')
(u'literotica.com', 'literotica.cn.', 'literotica.cn', 'wrongTLD', '185.26.230.130')
(u'literotica.com', 'lifterotica.com.', 'lifterotica.com', u'typo', '213.247.47.190')
(u'literotica.com', 'literofica.com.', 'literofica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litetotica.com.', 'litetotica.com', u'typo', '103.224.212.248')
(u'literotica.com', 'literoitica.com.', 'literoitica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'lirterotica.com.', 'lirterotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'liuterotica.com.', 'liuterotica.com', u'typo', '173.239.8.164')
(u'literotica.com', 'lliterotica.com.', 'lliterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'german-literotica.com.', 'german-literotica.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literoticy.com.', 'literoticy.com', u'typo', '98.124.245.24')
(u'literotica.com', 'lierotica.com.', 'lierotica.com', u'typo', '149.202.120.41')
(u'literotica.com', 'litertotica.com.', 'litertotica.com', u'typo', '98.124.199.2')
(u'literotica.com', 'ltierotica.com.', 'ltierotica.com', u'typo', '213.247.47.190')
(u'literotica.com', 'literotica.sex.', 'literotica.sex', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotica.co.nz.', 'literotica.co.nz', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotika.com.', 'literotika.com', u'bits', '98.124.245.24')
(u'literotica.com', 'litorotica.com.', 'litorotica.com', u'homo', '103.224.182.209')
(u'literotica.com', 'likterotica.com.', 'likterotica.com', u'typo', '209.15.13.134')
(u'literotica.com', 'xxx-1-absolutely-free-literoticas-adult-erotic-sex-stories.com.', 'xxx-1-absolutely-free-literoticas-adult-erotic-sex-stories.com', 'combo', '64.6.107.150')
(u'literotica.com', 'lifterotica.com.', 'lifterotica.com', u'typo', '173.239.5.6')
(u'literotica.com', 'literotiica.com.', 'literotiica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'liteerotica.com.', 'liteerotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.in.', 'literotica.in', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotica.eu.', 'literotica.eu', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotica.top.', 'literotica.top', 'wrongTLD', '198.54.117.212')
(u'literotica.com', 'literotica.no.', 'literotica.no', 'wrongTLD', '185.53.178.14')
(u'literotica.com', 'liiterotica.com.', 'liiterotica.com', u'typo', '192.64.147.196')
(u'literotica.com', 'literotico.com.', 'literotico.com', u'homo', '98.124.245.24')
(u'literotica.com', 'literoitca.com.', 'literoitca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotia.com.', 'literotia.com', u'typo', '103.224.182.242')
(u'literotica.com', 'literotyica.com.', 'literotyica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litwrotica.com.', 'litwrotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'lierotica.com.', 'lierotica.com', u'typo', '158.69.143.102')
(u'literotica.com', 'literotica.pl.', 'literotica.pl', 'wrongTLD', '193.17.184.176')
(u'literotica.com', 'litserotica.com.', 'litserotica.com', u'typo', '185.53.178.7')
(u'literotica.com', 'literoticaa.com.', 'literoticaa.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.nl.', 'literotica.nl', 'wrongTLD', '185.26.230.130')
(u'literotica.com', 'ltierotica.com.', 'ltierotica.com', u'typo', '173.239.5.6')
(u'literotica.com', 'literotifca.com.', 'literotifca.com', u'typo', '185.53.178.7')
(u'literotica.com', 'literotic.org.', 'literotic.org', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.com.ph.', 'literotica.com.ph', 'wrongTLD', '45.79.222.138')
(u'literotica.com', 'literoptica.com.', 'literoptica.com', u'typo', '103.224.182.210')
(u'literotica.com', 'lierotica.com.', 'lierotica.com', u'typo', '158.69.143.106')
(u'literotica.com', 'literotivca.com.', 'literotivca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'litefotica.com.', 'litefotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'piterotica.com.', 'piterotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotic.net.', 'literotic.net', u'typo', '98.124.245.24')
(u'literotica.com', 'litsrotica.com.', 'litsrotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'liverotica.com.', 'liverotica.com', u'bits', '50.63.202.46')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '216.157.88.23')
(u'literotica.com', 'literotica.com.cn.', 'literotica.com.cn', 'wrongTLD', '98.124.199.89')
(u'literotica.com', 'iiterotica.com.', 'iiterotica.com', u'homo', '98.124.245.24')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '216.157.88.24')
(u'literotica.com', 'literoticaq.com.', 'literoticaq.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica.us.', 'literotica.us', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotical.com.', 'literotical.com', u'typo', '216.157.88.25')
(u'literotica.com', 'literogica.com.', 'literogica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literutica.com.', 'literutica.com', u'homo', '173.239.2.182')
(u'literotica.com', 'literotkca.com.', 'literotkca.com', u'bits', '185.53.179.7')
(u'literotica.com', 'literotaca.com.', 'literotaca.com', u'homo', '54.72.9.51')
(u'literotica.com', 'litterotica.com.', 'litterotica.com', u'typo', '185.53.179.15')
(u'literotica.com', 'literotica.no.', 'literotica.no', 'wrongTLD', '54.72.9.51')
(u'literotica.com', 'liyerotica.com.', 'liyerotica.com', u'typo', '72.52.4.122')
(u'literotica.com', 'literotjca.com.', 'literotjca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literorica.net.', 'literorica.net', u'typo', '185.53.178.15')
(u'literotica.com', 'liturotica.com.', 'liturotica.com', u'homo', '199.59.242.150')
(u'literotica.com', 'ltierotica.com.', 'ltierotica.com', u'typo', '173.239.8.164')
(u'literotica.com', 'literotiac.com.', 'literotiac.com', u'typo', '69.172.201.153')
(u'literotica.com', 'literotica-uk.com.', 'literotica-uk.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literotoica.com.', 'literotoica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticao.com.', 'literoticao.com', u'typo', '54.72.9.51')
(u'literotica.com', 'liteerotica.de.', 'liteerotica.de', u'typo', '46.4.13.97')
(u'literotica.com', 'litrerotica.com.', 'litrerotica.com', u'typo', '216.157.88.24')
(u'literotica.com', 'litedotica.com.', 'litedotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literotica.uk.', 'literotica.uk', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotiba.com.', 'literotiba.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literoticxa.com.', 'literoticxa.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literopica.com.', 'literopica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literoticc.com.', 'literoticc.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literltica.com.', 'literltica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoytica.com.', 'literoytica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literotica.sexy.', 'literotica.sexy', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literotic.info.', 'literotic.info', u'typo', '98.124.245.24')
(u'literotica.com', 'literotixa.com.', 'literotixa.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literorica.net.', 'literorica.net', u'typo', '54.72.9.51')
(u'literotica.com', 'literotica-ebooks.com.', 'literotica-ebooks.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literoteca.com.', 'literoteca.com', u'homo', '98.124.245.24')
(u'literotica.com', 'litferotica.com.', 'litferotica.com', u'typo', '213.247.47.190')
(u'literotica.com', 'literoti9ca.com.', 'literoti9ca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotic.com.', 'literotic.com', u'typo', '64.57.73.120')
(u'literotica.com', 'literotics.com.', 'literotics.com', u'typo', '98.124.245.24')
(u'literotica.com', 'liteeotica.com.', 'liteeotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'lityerotica.com.', 'lityerotica.com', u'typo', '185.53.179.6')
(u'literotica.com', 'literotifa.com.', 'literotifa.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotican.com.', 'literotican.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotiuca.com.', 'literotiuca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'lterotica.com.', 'lterotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literotica-press.com.', 'literotica-press.com', 'combo', '64.57.76.200')
(u'literotica.com', 'literotica.com.au.', 'literotica.com.au', 'wrongTLD', '69.172.201.153')
(u'literotica.com', 'literotice.com.', 'literotice.com', u'homo', '69.172.201.153')
(u'literotica.com', 'luterotica.com.', 'luterotica.com', u'homo', '72.52.4.122')
(u'literotica.com', 'literodica.com.', 'literodica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'literotica.org.', 'literotica.org', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literoticca.com.', 'literoticca.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoica.com.', 'literoica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotca.com.', 'literotca.com', u'typo', '54.72.9.51')
(u'literotica.com', 'litewrotica.com.', 'litewrotica.com', u'typo', '69.172.201.153')
(u'literotica.com', 'literottica.com.', 'literottica.com', u'typo', '72.52.4.122')
(u'literotica.com', 'wife-wants-husband-and-son-together-sucking-literotica.ph.', 'wife-wants-husband-and-son-together-sucking-literotica.ph', 'combo', '45.79.222.138')
(u'literotica.com', 'literotaca.com.', 'literotaca.com', u'homo', '185.53.179.7')
(u'literotica.com', 'ligerotica.com.', 'ligerotica.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literoticq.com.', 'literoticq.com', u'bits', '54.72.9.51')
(u'literotica.com', 'loiterotica.com.', 'loiterotica.com', u'typo', '216.157.88.21')
(u'literotica.com', 'loiterotica.com.', 'loiterotica.com', u'typo', '216.157.88.22')
(u'literotica.com', 'literoticad.com.', 'literoticad.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literotiva.com.', 'literotiva.com', u'typo', '185.53.178.6')
(u'literotica.com', 'literitica.com.', 'literitica.com', u'homo', '209.15.13.134')
(u'literotica.com', 'literotica-us.com.', 'literotica-us.com', 'combo', '185.53.179.6')
(u'literotica.com', 'literotica-sex-stories.com.', 'literotica-sex-stories.com', 'combo', '64.57.76.198')
(u'literotica.com', 'literotica.kiwi.', 'literotica.kiwi', 'wrongTLD', '202.174.115.181')
(u'literotica.com', 'literotica.store.', 'literotica.store', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'literoticao.com.', 'literoticao.com', u'typo', '185.53.179.7')
(u'literotica.com', 'literoticat.com.', 'literoticat.com', u'typo', '98.124.245.24')
(u'literotica.com', 'literpotica.com.', 'literpotica.com', u'typo', '173.239.2.182')
(u'literotica.com', 'liyterotica.com.', 'liyterotica.com', u'typo', '199.59.242.150')
(u'literotica.com', 'literotica.mobi.', 'literotica.mobi', 'wrongTLD', '98.124.199.93')
(u'literotica.com', 'literoticaz.com.', 'literoticaz.com', u'typo', '185.53.178.14')
(u'literotica.com', 'literotica.co.uk.', 'literotica.co.uk', 'wrongTLD', '98.124.245.24')
(u'literotica.com', 'litreotica.com.', 'litreotica.com', u'typo', '67.225.218.50')
(u'literotica.com', 'lkterotica.com.', 'lkterotica.com', u'bits', '98.124.245.24')
(u'literotica.com', 'litrotica.org.', 'litrotica.org', u'typo', '98.124.245.24')
(u'literotica.com', 'literotica-literotica.com.', 'literotica-literotica.com', 'combo', '98.124.245.24')
(u'literotica.com', 'literoticac.com.', 'literoticac.com', u'typo', '98.124.245.24')
