(u'flirt4free.com', 'flirtf4free.com.', 'flirtf4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4dree.com.', 'flirt4dree.com', u'bits', '164.132.212.72')
(u'flirt4free.com', 'flitt4free.com.', 'flitt4free.com', u'typo', '107.161.23.204')
(u'flirt4free.com', 'flirt-4free.com.', 'flirt-4free.com', u'typo', '185.53.178.15')
(u'flirt4free.com', 'flirt4free.poker.', 'flirt4free.poker', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.ga.', 'flirt4free.ga', 'wrongTLD', '204.8.234.212')
(u'flirt4free.com', 'flirt4feee.com.', 'flirt4feee.com', u'typo', '50.63.202.29')
(u'flirt4free.com', 'flirtfree.us.', 'flirtfree.us', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.pw.', 'flirt4free.pw', 'wrongTLD', '198.54.117.212')
(u'flirt4free.com', 'flirt4free.ch.', 'flirt4free.ch', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'tlirt4free.com.', 'tlirt4free.com', u'typo', '50.63.202.27')
(u'flirt4free.com', 'flirt4free.dating.', 'flirt4free.dating', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4ftee.com.', 'flirt4ftee.com', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.gr.', 'flirt4free.gr', 'wrongTLD', '104.27.131.49')
(u'flirt4free.com', 'flirt4free.pt.', 'flirt4free.pt', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flrit4free.com.', 'flrit4free.com', u'typo', '98.124.245.24')
(u'flirt4free.com', 'flirt4rree.com.', 'flirt4rree.com', u'typo', '50.63.202.6')
(u'flirt4free.com', 'flirt4free.sex.', 'flirt4free.sex', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.cl.', 'flirt4free.cl', 'wrongTLD', '23.236.146.237')
(u'flirt4free.com', 'flirt4free.email.', 'flirt4free.email', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fllirt4free.com.', 'fllirt4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.gr.', 'flirt4free.gr', 'wrongTLD', '104.27.130.49')
(u'flirt4free.com', 'flirt4free.cz.', 'flirt4free.cz', 'wrongTLD', '78.41.21.3')
(u'flirt4free.com', 'flirrt4free.com.', 'flirrt4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.video.', 'flirt4free.video', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4gree.com.', 'flirt4gree.com', u'bits', '164.132.212.72')
(u'flirt4free.com', 'flirt4free.pl.', 'flirt4free.pl', 'wrongTLD', '185.53.178.9')
(u'flirt4free.com', 'flirf4free.com.', 'flirf4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.net.in.', 'flirt4free.net.in', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4rfee.com.', 'flirt4rfee.com', u'typo', '85.25.199.30')
(u'flirt4free.com', 'flirt4free.studio.', 'flirt4free.studio', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.firm.in.', 'flirt4free.firm.in', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.tube.', 'flirt4free.tube', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4freer.com.', 'flirt4freer.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.co.za.', 'flirt4free.co.za', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.in.', 'flirt4free.in', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flrt4free.com.', 'flrt4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.hk.', 'flirt4free.hk', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirtt4free.com.', 'flirtt4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.com.au.', 'flirt4free.com.au', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.reviews.', 'flirt4free.reviews', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'fliirt4free.com.', 'fliirt4free.com', u'typo', '50.63.202.18')
(u'flirt4free.com', 'flirt4free.info.', 'flirt4free.info', 'wrongTLD', '52.4.209.250')
(u'flirt4free.com', 'flirt4free.org.uk.', 'flirt4free.org.uk', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4frfee.com.', 'flirt4frfee.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.tech.', 'flirt4free.tech', 'wrongTLD', '104.24.99.240')
(u'flirt4free.com', 'flirt4frww.com.', 'flirt4frww.com', u'typo', '45.79.110.98')
(u'flirt4free.com', 'flirtfree.info.', 'flirtfree.info', u'typo', '103.224.182.239')
(u'flirt4free.com', 'xxx-flirt4free.com.', 'xxx-flirt4free.com', 'combo', '50.63.202.55')
(u'flirt4free.com', 'flirt4free.nu.', 'flirt4free.nu', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.kr.', 'flirt4free.kr', 'wrongTLD', '127.0.0.1')
(u'flirt4free.com', 'flirt4free.ph.', 'flirt4free.ph', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4fee.com.', 'flirt4fee.com', u'typo', '45.79.110.98')
(u'flirt4free.com', 'flirt4free.us.', 'flirt4free.us', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flir4free.com.', 'flir4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirty4free.com.', 'flirty4free.com', u'typo', '199.59.242.150')
(u'flirt4free.com', 'flirt4free.gs.', 'flirt4free.gs', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.store.', 'flirt4free.store', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free-review.com.', 'flirt4free-review.com', 'combo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.media.', 'flirt4free.media', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.movie.', 'flirt4free.movie', 'wrongTLD', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.club.', 'flirt4free.club', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.adult.', 'flirt4free.adult', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt5free.com.', 'flirt5free.com', u'bits', '209.15.13.134')
(u'flirt4free.com', 'flit4free.com.', 'flit4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.at.', 'flirt4free.at', 'wrongTLD', '72.52.4.120')
(u'flirt4free.com', 'flirtz4free.com.', 'flirtz4free.com', u'typo', '204.8.234.212')
(u'flirt4free.com', 'flirtfree.gr.', 'flirtfree.gr', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.com.co.', 'flirt4free.com.co', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flurt4free.com.', 'flurt4free.com', u'homo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.vip.', 'flirt4free.vip', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.news.', 'flirt4free.news', 'wrongTLD', '208.91.197.39')
(u'flirt4free.com', 'fkirt4free.com.', 'fkirt4free.com', u'typo', '162.210.196.168')
(u'flirt4free.com', 'flirt4free-vr.com.', 'flirt4free-vr.com', 'combo', '50.63.202.41')
(u'flirt4free.com', 'flirt4free.la.', 'flirt4free.la', 'wrongTLD', '206.188.192.2')
(u'flirt4free.com', 'flirt4free.co.in.', 'flirt4free.co.in', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.id.', 'flirt4free.id', 'wrongTLD', '127.0.0.1')
(u'flirt4free.com', 'flirt4free.mobi.', 'flirt4free.mobi', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'glirt4free.com.', 'glirt4free.com', u'bits', '107.161.23.204')
(u'flirt4free.com', 'flirt4dree.com.', 'flirt4dree.com', u'bits', '107.161.23.204')
(u'flirt4free.com', 'flirt4free.se.', 'flirt4free.se', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.com.ph.', 'flirt4free.com.ph', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirg4free.com.', 'flirg4free.com', u'typo', '192.64.119.75')
(u'flirt4free.com', 'glirt4free.com.', 'glirt4free.com', u'bits', '167.114.213.199')
(u'flirt4free.com', 'flirt4free.jp.', 'flirt4free.jp', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirtfree.de.', 'flirtfree.de', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.ru.', 'flirt4free.ru', 'wrongTLD', '176.9.36.201')
(u'flirt4free.com', 'flirt4ffree.com.', 'flirt4ffree.com', u'typo', '45.79.110.98')
(u'flirt4free.com', 'firt4free.com.', 'firt4free.com', u'typo', '185.53.179.8')
(u'flirt4free.com', 'flirt4freee.com.', 'flirt4freee.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.org.', 'flirt4free.org', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.discount.', 'flirt4free.discount', 'wrongTLD', '141.8.225.76')
(u'flirt4free.com', 'flirr4free.com.', 'flirr4free.com', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirtfree.be.', 'flirtfree.be', u'typo', '87.250.141.55')
(u'flirt4free.com', 'fliry4free.com.', 'fliry4free.com', u'typo', '164.132.212.72')
(u'flirt4free.com', 'flirt4free.net.', 'flirt4free.net', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.de.', 'flirt4free.de', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.net.bz.', 'flirt4free.net.bz', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.it.', 'flirt4free.it', 'wrongTLD', '185.53.178.15')
(u'flirt4free.com', 'flirt4free.name.', 'flirt4free.name', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.chat.', 'flirt4free.chat', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flitr4free.com.', 'flitr4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirtfree.com.', 'flirtfree.com', u'typo', '64.85.171.16')
(u'flirt4free.com', 'flirt3free.com.', 'flirt3free.com', u'typo', '141.8.224.169')
(u'flirt4free.com', 'flirt4frree.com.', 'flirt4frree.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.tk.', 'flirt4free.tk', 'wrongTLD', '195.20.42.6')
(u'flirt4free.com', 'flirt4gree.com.', 'flirt4gree.com', u'bits', '167.114.213.199')
(u'flirt4free.com', 'flirt4free.photo.', 'flirt4free.photo', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.idv.tw.', 'flirt4free.idv.tw', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.es.', 'flirt4free.es', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'fflirt4free.com.', 'fflirt4free.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.ie.', 'flirt4free.ie', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.film.', 'flirt4free.film', 'wrongTLD', '208.91.197.39')
(u'flirt4free.com', 'flirt4free.stream.', 'flirt4free.stream', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flitt4free.com.', 'flitt4free.com', u'typo', '167.114.213.199')
(u'flirt4free.com', 'flirt4free.co.uk.', 'flirt4free.co.uk', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.fr.', 'flirt4free.fr', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.loan.', 'flirt4free.loan', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.promo.', 'flirt4free.promo', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'fl8rt4free.com.', 'fl8rt4free.com', u'typo', '192.64.119.88')
(u'flirt4free.com', 'clirt4free.com.', 'clirt4free.com', u'typo', '184.168.221.19')
(u'flirt4free.com', 'flirt4free.tech.', 'flirt4free.tech', 'wrongTLD', '104.24.98.240')
(u'flirt4free.com', 'flirt4free.com.bz.', 'flirt4free.com.bz', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flitt4free.com.', 'flitt4free.com', u'typo', '164.132.212.72')
(u'flirt4free.com', 'flirt4free.racing.', 'flirt4free.racing', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'rlirt4free.com.', 'rlirt4free.com', u'typo', '50.63.202.53')
(u'flirt4free.com', 'flirt4free.pics.', 'flirt4free.pics', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.no.', 'flirt4free.no', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.pro.', 'flirt4free.pro', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.xxx.', 'flirt4free.xxx', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.ga.', 'flirt4free.ga', 'wrongTLD', '195.20.34.207')
(u'flirt4free.com', 'flirt4free.tv.', 'flirt4free.tv', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.science.', 'flirt4free.science', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.me.', 'flirt4free.me', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.webcam.', 'flirt4free.webcam', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4frer.com.', 'flirt4frer.com', u'typo', '54.72.9.51')
(u'flirt4free.com', 'flirtfree.ca.', 'flirtfree.ca', u'typo', '72.52.4.120')
(u'flirt4free.com', 'flirt4free.tc.', 'flirt4free.tc', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.site.', 'flirt4free.site', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.net.ag.', 'flirt4free.net.ag', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.cm.', 'flirt4free.cm', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4fre.com.', 'flirt4fre.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.asia.', 'flirt4free.asia', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4ree.com.', 'flirt4ree.com', u'typo', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.online.', 'flirt4free.online', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.ca.', 'flirt4free.ca', 'wrongTLD', '204.8.234.202')
(u'flirt4free.com', 'flirt4free.org.nz.', 'flirt4free.org.nz', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.ag.', 'flirt4free.ag', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.live.', 'flirt4free.live', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.red.', 'flirt4free.red', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.trade.', 'flirt4free.trade', 'wrongTLD', '69.172.201.153')
(u'flirt4free.com', 'flirt4free.agency.', 'flirt4free.agency', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.com.br.', 'flirt4free.com.br', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4free.porn.', 'flirt4free.porn', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'flirt4frre.com.', 'flirt4frre.com', u'typo', '184.168.221.21')
(u'flirt4free.com', 'flirt4free.com.mx.', 'flirt4free.com.mx', 'wrongTLD', '204.8.234.213')
(u'flirt4free.com', 'filrt4free.com.', 'filrt4free.com', u'typo', '185.53.179.8')
(u'flirt4free.com', 'flirt4free.click.', 'flirt4free.click', 'wrongTLD', '69.64.147.242')
(u'flirt4free.com', 'fliet4free.com.', 'fliet4free.com', u'typo', '45.79.110.98')
(u'flirt4free.com', 'flirt4free.ws.', 'flirt4free.ws', 'wrongTLD', '204.8.234.213')
