(u'livingsocial.com', 'livingsocial.co.il.', 'livingsocial.co.il', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.com.sg.', 'livingsocial.com.sg', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingbsocial.com.', 'livingbsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.157')
(u'livingsocial.com', 'li8vingsocial.com.', 'li8vingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '46.51.177.195')
(u'livingsocial.com', 'livinvgsocial.com.', 'livinvgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'likvingsocial.com.', 'likvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livi9ngsocial.com.', 'livi9ngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocijal.com.', 'livingsocijal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsxocial.com.', 'livingsxocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.biz.', 'livingsocial.biz', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'living-social.co.uk.', 'living-social.co.uk', u'typo', '94.136.40.51')
(u'livingsocial.com', 'livingsocial.com.sv.', 'livingsocial.com.sv', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'liv8ingsocial.com.', 'liv8ingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lkivingsocial.com.', 'lkivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoocial.com.', 'livingsoocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livihngsocial.com.', 'livihngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociaal.com.', 'livingsociaal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial-restaurants.com.', 'livingsocial-restaurants.com', 'combo', '72.52.10.14')
(u'livingsocial.com', 'livingsoial.com.', 'livingsoial.com', u'typo', '199.59.242.150')
(u'livingsocial.com', 'livingsodial.com.', 'livingsodial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoccial.com.', 'livingsoccial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociwl.com.', 'livingsociwl.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingaocial.com.', 'livingaocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livfingsocial.com.', 'livfingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.camera.', 'livingsocial.camera', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsockal.com.', 'livingsockal.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingszocial.com.', 'livingszocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociawl.com.', 'livingsociawl.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocdial.com.', 'livingsocdial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.tk.', 'livingsocial.tk', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsociwal.com.', 'livingsociwal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoc8ial.com.', 'livingsoc8ial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livkngsocial.com.', 'livkngsocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '54.246.93.13')
(u'livingsocial.com', 'livingesocial.com.', 'livingesocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.ca.', 'livingsocial.ca', 'wrongTLD', '199.91.50.118')
(u'livingsocial.com', 'livingsocial.estate.', 'livingsocial.estate', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.160')
(u'livingsocial.com', 'livingssocial.com.', 'livingssocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocials.com.', 'livingsocials.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.163')
(u'livingsocial.com', 'livinjgsocial.com.', 'livinjgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinsgocial.com.', 'livinsgocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.166')
(u'livingsocial.com', 'livingsocoal.com.', 'livingsocoal.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.lu.', 'livingsocial.lu', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingeocial.com.', 'livingeocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '176.34.186.137')
(u'livingsocial.com', 'livings9ocial.com.', 'livings9ocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livibgsocial.com.', 'livibgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocials.net.', 'livingsocials.net', u'typo', '50.63.202.25')
(u'livingsocial.com', 'livingsocial.tv.', 'livingsocial.tv', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livings0ocial.com.', 'livings0ocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinysocial.com.', 'livinysocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lifvingsocial.com.', 'lifvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livnigsocial.com.', 'livnigsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livkingsocial.com.', 'livkingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liivingsocial.com.', 'liivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingcocial.com.', 'livingcocial.com', u'bits', '141.8.224.93')
(u'livingsocial.com', 'liv9ngsocial.com.', 'liv9ngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.es.', 'livingsocial.es', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livinggsocial.com.', 'livinggsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livlngsoclal.com.', 'livlngsoclal.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '54.247.124.229')
(u'livingsocial.com', 'livintgsocial.com.', 'livintgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livignsocial.com.', 'livignsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoical.com.', 'livingsoical.com', u'typo', '199.59.242.150')
(u'livingsocial.com', 'livingsocial.net.', 'livingsocial.net', 'wrongTLD', '199.91.50.116')
(u'livingsocial.com', 'llivingsocial.com.', 'llivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.uno.', 'livingsocial.uno', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'lifingsocial.com.', 'lifingsocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsociql.com.', 'livingsociql.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingswocial.com.', 'livingswocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.it.', 'livingsocial.it', 'wrongTLD', '185.53.179.7')
(u'livingsocial.com', 'livingsocial.co.in.', 'livingsocial.co.in', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livongsocial.com.', 'livongsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingsociaql.com.', 'livingsociaql.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociial.com.', 'livingsociial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.asia.', 'livingsocial.asia', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingvsocial.com.', 'livingvsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.london.', 'livingsocial.london', 'wrongTLD', '94.136.40.51')
(u'livingsocial.com', 'livingsocialy.com.', 'livingsocialy.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocjal.com.', 'livingsocjal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.ht.', 'livingsocial.ht', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livings9cial.com.', 'livings9cial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.com.hk.', 'livingsocial.com.hk', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsoc9al.com.', 'livingsoc9al.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.name.', 'livingsocial.name', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '54.246.98.169')
(u'livingsocial.com', 'livingsocial.gallery.', 'livingsocial.gallery', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingxsocial.com.', 'livingxsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocual.com.', 'livingsocual.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.com.', 'liviingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'l8vingsocial.com.', 'l8vingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingocial.com.', 'livingocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinhgsocial.com.', 'livinhgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'ligvingsocial.com.', 'ligvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lijvingsocial.com.', 'lijvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livbingsocial.com.', 'livbingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.sg.', 'livingsocial.sg', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livimgsocial.com.', 'livimgsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingsocil.com.', 'livingsocil.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.72')
(u'livingsocial.com', 'ljivingsocial.com.', 'ljivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsokcial.com.', 'livingsokcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.cloud.', 'livingsocial.cloud', 'wrongTLD', '62.149.128.74')
(u'livingsocial.com', 'livingslcial.com.', 'livingslcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingxocial.com.', 'livingxocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingzsocial.com.', 'livingzsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livikngsocial.com.', 'livikngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livijgsocial.com.', 'livijgsocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.xyz.', 'livingsocial.xyz', 'wrongTLD', '72.52.4.122')
(u'livingsocial.com', 'liv8ngsocial.com.', 'liv8ngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liingsocial.com.', 'liingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocizal.com.', 'livingsocizal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lvingsocial.com.', 'lvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinbgsocial.com.', 'livinbgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingscoial.com.', 'livingscoial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.domains.', 'livingsocial.domains', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livinesocial.com.', 'livinesocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsociqal.com.', 'livingsociqal.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingzocial.com.', 'livingzocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.directory.', 'livingsocial.directory', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingso0cial.com.', 'livingso0cial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liv9ingsocial.com.', 'liv9ingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial-dines.com.', 'livingsocial-dines.com', 'combo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.net.au.', 'livingsocial.net.au', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.co.cr.', 'livingsocial.co.cr', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.org.', 'livingsocial.org', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'ilvingsocial.com.', 'ilvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livgingsocial.com.', 'livgingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.equipment.', 'livingsocial.equipment', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livintsocial.com.', 'livintsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'l9vingsocial.com.', 'l9vingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'llvingsocial.com.', 'llvingsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingsocia.com.', 'livingsocia.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'libvingsocial.com.', 'libvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lovingsocial.com.', 'lovingsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'livingsdocial.com.', 'livingsdocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoci9al.com.', 'livingsoci9al.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsociall.org.', 'livingsociall.org', u'typo', '72.52.10.14')
(u'livingsocial.com', 'porn-livingsocial.com.', 'porn-livingsocial.com', 'combo', '208.94.66.130')
(u'livingsocial.com', 'luvingsocial.com.', 'luvingsocial.com', u'homo', '72.52.10.14')
(u'livingsocial.com', 'libingsocial.com.', 'libingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinfgsocial.com.', 'livinfgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoc8al.com.', 'livingsoc8al.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'oivingsocial.com.', 'oivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.com.ni.', 'livingsocial.com.ni', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsosial.com.', 'livingsosial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsociall.com.', 'livingsociall.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinhsocial.com.', 'livinhsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingspcial.com.', 'livingspcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.fm.', 'livingsocial.fm', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsociak.com.', 'livingsociak.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinvsocial.com.', 'livinvsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingoscial.com.', 'livingoscial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsodcial.com.', 'livingsodcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.mk.', 'livingsocial.mk', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.info.', 'livingsocial.info', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livihgsocial.com.', 'livihgsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingwocial.com.', 'livingwocial.com', u'bits', '72.52.10.14')
(u'livingsocial.com', 'livingsofial.com.', 'livingsofial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'l9ivingsocial.com.', 'l9ivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livijngsocial.com.', 'livijngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livinsocial.com.', 'livinsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.am.', 'livingsocial.am', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsoc9ial.com.', 'livingsoc9ial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '54.247.92.186')
(u'livingsocial.com', 'livingsocfial.com.', 'livingsocfial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livngsocial.com.', 'livngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'ligingsocial.com.', 'ligingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsofcial.com.', 'livingsofcial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'lviingsocial.com.', 'lviingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'li9vingsocial.com.', 'li9vingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsovial.com.', 'livingsovial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingtsocial.com.', 'livingtsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liviingsocial.org.', 'liviingsocial.org', u'typo', '46.51.179.61')
(u'livingsocial.com', 'livingsocial.co.nz.', 'livingsocial.co.nz', 'wrongTLD', '54.79.32.31')
(u'livingsocial.com', 'ljvingsocial.com.', 'ljvingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial.technology.', 'livingsocial.technology', 'wrongTLD', '72.52.10.14')
(u'livingsocial.com', 'livingsocila.com.', 'livingsocila.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsoxial.com.', 'livingsoxial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingslocial.com.', 'livingslocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livi8ngsocial.com.', 'livi8ngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'pivingsocial.com.', 'pivingsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'liivngsocial.com.', 'liivngsocial.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livingsocial-shop.co.uk.', 'livingsocial-shop.co.uk', 'combo', '165.160.15.20')
(u'livingsocial.com', 'livingsoci8al.com.', 'livingsoci8al.com', u'typo', '72.52.10.14')
(u'livingsocial.com', 'livjingsocial.com.', 'livjingsocial.com', u'typo', '72.52.10.14')
