(u'travelocity.com', 'travelocity-europe.com.', 'travelocity-europe.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelociity.com.', 'travelociity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tfravelocity.com.', 'tfravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.cn.', 'travelocity.cn', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'tragvelocity.com.', 'tragvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityt.com.', 'travelocityt.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trzvelocity.com.', 'trzvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocjity.com.', 'travelocjity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tvavelocity.com.', 'tvavelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocit.net.', 'travelocit.net', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.com.vn.', 'travelcity.com.vn', u'typo', '119.81.46.25')
(u'travelocity.com', 'traveolcity.ca.', 'traveolcity.ca', u'typo', '208.73.210.217')
(u'travelocity.com', 'travelocityc.com.', 'travelocityc.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-us-nl.com.', 'travelocity-us-nl.com', 'combo', '217.70.184.38')
(u'travelocity.com', 'travelocity.jobs.', 'travelocity.jobs', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocit.com.', 'travelocit.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.dm.', 'travelocity.dm', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelpocity.com.', 'travelpocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelo9city.com.', 'travelo9city.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocitys.net.', 'travelocitys.net', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocitu.com.', 'travelocitu.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.ir.', 'travelocity.ir', 'wrongTLD', '202.75.56.132')
(u'travelocity.com', 'travelicity.com.', 'travelicity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocitys.com.', 'travelocitys.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.com.ni.', 'travelocity.com.ni', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelo-city.com.', 'travelo-city.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveolocity.com.', 'traveolocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trqavelocity.com.', 'trqavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tavelocity.co.uk.', 'tavelocity.co.uk', u'typo', '103.224.212.222')
(u'travelocity.com', 'travelocity-lawsuit.com.', 'travelocity-lawsuit.com', 'combo', '64.57.67.174')
(u'travelocity.com', 'trabelocity.net.', 'trabelocity.net', u'typo', '52.86.163.26')
(u'travelocity.com', 'travelocivy.com.', 'travelocivy.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocitfy.com.', 'travelocitfy.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.net.', 'travelacity.net', u'homo', '52.86.163.26')
(u'travelocity.com', 'travelocity.ie.', 'travelocity.ie', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocjty.com.', 'travelocjty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travel-ocity.com.', 'travel-ocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tr5avelocity.com.', 'tr5avelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityj.com.', 'travelocityj.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trvaelocity.com.', 'trvaelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.xxx.', 'travelocity.xxx', 'wrongTLD', '199.253.28.9')
(u'travelocity.com', 'travlocity.net.', 'travlocity.net', u'typo', '185.53.178.9')
(u'travelocity.com', 'travelocaty.com.', 'travelocaty.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelcity.org.', 'travelcity.org', u'typo', '98.124.245.24')
(u'travelocity.com', 'trivelocity.com.', 'trivelocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocitt.com.', 'travelocitt.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelokcity.com.', 'travelokcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 't4ravelocity.com.', 't4ravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocitya.com.', 'travelocitya.com', u'typo', '72.52.179.175')
(u'travelocity.com', 'trzavelocity.com.', 'trzavelocity.com', u'typo', '52.52.18.176')
(u'travelocity.com', 'travelocity-business.biz.', 'travelocity-business.biz', 'combo', '204.74.99.101')
(u'travelocity.com', 'pravelocity.com.', 'pravelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelolcity.org.', 'travelolcity.org', u'typo', '205.204.88.86')
(u'travelocity.com', 'yravelocity.com.', 'yravelocity.com', u'typo', '204.74.99.100')
(u'travelocity.com', 'travedlocity.com.', 'travedlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.com.au.', 'travelcity.com.au', u'typo', '69.61.31.43')
(u'travelocity.com', 'travelcity.com.', 'travelcity.com', u'typo', '98.124.245.24')
(u'travelocity.com', 'traveloxcity.com.', 'traveloxcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityi.com.', 'travelocityi.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocty.ca.', 'travelocty.ca', u'typo', '185.53.178.6')
(u'travelocity.com', 'tyravelocity.com.', 'tyravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'ttavelocity.com.', 'ttavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travolocity.net.', 'travolocity.net', u'homo', '204.74.99.101')
(u'travelocity.com', 'traveloci5ty.com.', 'traveloci5ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelociyy.com.', 'travelociyy.com', u'typo', '149.202.120.41')
(u'travelocity.com', 'travelocoity.com.', 'travelocoity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.ch.', 'travelcity.ch', u'typo', '136.243.163.132')
(u'travelocity.com', 'trabelocity.org.', 'trabelocity.org', u'typo', '204.74.99.101')
(u'travelocity.com', 'travolocity.com.', 'travolocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travellcity.com.', 'travellcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trevelocity.ca.', 'trevelocity.ca', u'homo', '208.73.211.165')
(u'travelocity.com', 'travelocityy.com.', 'travelocityy.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.lu.', 'travelocity.lu', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travrelocity.com.', 'travrelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travel0city.com.', 'travel0city.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'traveslocity.com.', 'traveslocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.co.at.', 'travelocity.co.at', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'trabelocity.com.', 'trabelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocety.com.', 'travelocety.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'tfavelocity.com.', 'tfavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trafelocity.com.', 'trafelocity.com', u'bits', '51.254.28.160')
(u'travelocity.com', 'travelocity-prepaid.com.', 'travelocity-prepaid.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelocity.me.', 'travelocity.me', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelociy.com.', 'travelociy.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.tv.', 'travelocity.tv', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'travelocity.vn.', 'travelocity.vn', 'wrongTLD', '198.1.122.177')
(u'travelocity.com', 'travelocity.es.', 'travelocity.es', 'wrongTLD', '103.224.182.248')
(u'travelocity.com', 'travelocity.online.', 'travelocity.online', 'wrongTLD', '72.52.4.119')
(u'travelocity.com', 'travelocity.tips.', 'travelocity.tips', 'wrongTLD', '69.64.147.34')
(u'travelocity.com', 'trzavelocity.com.', 'trzavelocity.com', u'typo', '52.86.163.26')
(u'travelocity.com', 'travelocity.tc.', 'travelocity.tc', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocipy.com.', 'travelocipy.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travolocity.co.uk.', 'travolocity.co.uk', u'homo', '64.106.229.221')
(u'travelocity.com', 'travelocity-online.com.', 'travelocity-online.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'traveloci9ty.com.', 'traveloci9ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traavelocity.com.', 'traavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelicity.net.', 'travelicity.net', u'homo', '52.52.18.176')
(u'travelocity.com', 'travelociti.com.', 'travelociti.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'trafelocity.com.', 'trafelocity.com', u'bits', '158.69.143.112')
(u'travelocity.com', 'traveloity.co.uk.', 'traveloity.co.uk', u'typo', '64.106.229.221')
(u'travelocity.com', 'travelocity.org.', 'travelocity.org', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'traveloccity.com.', 'traveloccity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocit7.com.', 'travelocit7.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tra-velocity.com.', 'tra-velocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelociuty.com.', 'travelociuty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityg.com.', 'travelocityg.com', u'typo', '204.74.99.101')
(u'travelocity.com', '5ravelocity.com.', '5ravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelovity.ca.', 'travelovity.ca', u'typo', '54.72.9.51')
(u'travelocity.com', 'travelocity.xxx.', 'travelocity.xxx', 'wrongTLD', '199.253.28.249')
(u'travelocity.com', 'travelocity.net.', 'travelocity.net', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 't5ravelocity.com.', 't5ravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travvelocity.com.', 'travvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.co.th.', 'travelocity.co.th', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocith.com.', 'travelocith.com', u'typo', '103.224.182.241')
(u'travelocity.com', 'travelociy.ca.', 'travelociy.ca', u'typo', '64.182.91.176')
(u'travelocity.com', 'e-travelocitycom.com.', 'e-travelocitycom.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'traveloctiy.com.', 'traveloctiy.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'ttravelocity.com.', 'ttravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travslocity.com.', 'travslocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trave3locity.com.', 'trave3locity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'rtavelocity.com.', 'rtavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelosity.ca.', 'travelosity.ca', u'bits', '85.159.233.35')
(u'travelocity.com', 'travelosity.net.', 'travelosity.net', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocity.co.jp.', 'travelocity.co.jp', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'tracvelocity.com.', 'tracvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelodity.com.', 'travelodity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travfelocity.com.', 'travfelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trtavelocity.com.', 'trtavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travewlocity.com.', 'travewlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travselocity.com.', 'travselocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.pl.', 'travelocity.pl', 'wrongTLD', '79.96.157.44')
(u'travelocity.com', 'travelosity.com.', 'travelosity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'gravelocity.net.', 'gravelocity.net', u'typo', '104.154.95.49')
(u'travelocity.com', 'trevelocity.ca.', 'trevelocity.ca', u'homo', '208.73.211.177')
(u'travelocity.com', 'tdavelocity.com.', 'tdavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelosity.ru.', 'travelosity.ru', u'bits', '185.53.178.9')
(u'travelocity.com', 'travenocity.com.', 'travenocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelosity.ca.', 'travelosity.ca', u'bits', '198.50.233.238')
(u'travelocity.com', 'travelocity.feedback.', 'travelocity.feedback', 'wrongTLD', '216.176.180.10')
(u'travelocity.com', 'travelocity.travel.', 'travelocity.travel', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocitx.com.', 'travelocitx.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelodcity.com.', 'travelodcity.com', u'typo', '185.53.178.9')
(u'travelocity.com', 'travelocity.rw.', 'travelocity.rw', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelcity.net.', 'travelcity.net', u'typo', '121.78.127.249')
(u'travelocity.com', 'travelocity-com.com.', 'travelocity-com.com', 'combo', '207.244.77.157')
(u'travelocity.com', 'travcelocity.com.', 'travcelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelociyty.com.', 'travelociyty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloc1ty.com.', 'traveloc1ty.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'trfavelocity.com.', 'trfavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloity.com.', 'traveloity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelecity.com.', 'travelecity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'traveklocity.com.', 'traveklocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travepocity.com.', 'travepocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-eu.com.', 'travelocity-eu.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelocitym.com.', 'travelocitym.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.in.', 'travelcity.in', u'typo', '72.52.4.119')
(u'travelocity.com', 'traelocity.com.', 'traelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelcity.co.kr.', 'travelcity.co.kr', u'typo', '121.254.178.250')
(u'travelocity.com', 'travelocity.fi.', 'travelocity.fi', 'wrongTLD', '80.83.0.7')
(u'travelocity.com', 'travelociyy.com.', 'travelociyy.com', u'typo', '158.69.143.111')
(u'travelocity.com', 'travelocigty.com.', 'travelocigty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trav3locity.com.', 'trav3locity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trevelocity.ca.', 'trevelocity.ca', u'homo', '208.73.210.202')
(u'travelocity.com', 'travelosity.co.uk.', 'travelosity.co.uk', u'bits', '185.53.177.29')
(u'travelocity.com', 'travelogity.com.', 'travelogity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travilocity.com.', 'travilocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'trevelocity.com.', 'trevelocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'trawelocity.com.', 'trawelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'trasvelocity.com.', 'trasvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.tf.', 'travelocity.tf', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelosity.ca.', 'travelosity.ca', u'bits', '85.159.233.40')
(u'travelocity.com', 'fravelocity.com.', 'fravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trav3elocity.com.', 'trav3elocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveiocity.com.', 'traveiocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocityl.com.', 'travelocityl.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'rravelocity.com.', 'rravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 't4avelocity.com.', 't4avelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocxity.com.', 'travelocxity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travgelocity.com.', 'travgelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloci8ty.com.', 'traveloci8ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trravelocity.com.', 'trravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tragelocity.com.', 'tragelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveolcity.com.', 'traveolcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.ro.', 'travelocity.ro', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelocigy.com.', 'travelocigy.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocitty.com.', 'travelocitty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloxity.com.', 'traveloxity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.cl.', 'travelocity.cl', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'traveloicity.com.', 'traveloicity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travekocity.com.', 'travekocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelovity.ca.', 'travelovity.ca', u'typo', '185.53.179.8')
(u'travelocity.com', 'travdelocity.com.', 'travdelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocikty.com.', 'travelocikty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelochty.com.', 'travelochty.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'trdavelocity.com.', 'trdavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-nordic.com.', 'travelocity-nordic.com', 'combo', '185.26.230.130')
(u'travelocity.com', 'travelociry.com.', 'travelociry.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityk.com.', 'travelocityk.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.com.sv.', 'travelocity.com.sv', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelockity.com.', 'travelockity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trave1ocity.com.', 'trave1ocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travlocity.com.', 'travlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelovcity.com.', 'travelovcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trabvelocity.com.', 'trabvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.dk.', 'travelocity.dk', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'truvelocity.com.', 'truvelocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocityb.com.', 'travelocityb.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travemocity.com.', 'travemocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'traveolcity.ca.', 'traveolcity.ca', u'typo', '208.73.211.165')
(u'travelocity.com', 'travel9city.com.', 'travel9city.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.ch.', 'travelocity.ch', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'travelcity.ws.', 'travelcity.ws', u'typo', '64.70.19.203')
(u'travelocity.com', 'travelocidy.com.', 'travelocidy.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'traveloc9ty.com.', 'traveloc9ty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trawvelocity.com.', 'trawvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-business.net.', 'travelocity-business.net', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelosity.de.', 'travelosity.de', u'bits', '185.53.178.7')
(u'travelocity.com', 'traveplocity.com.', 'traveplocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-flights.com.', 'travelocity-flights.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travellocity.ca.', 'travellocity.ca', u'typo', '204.74.99.101')
(u'travelocity.com', 'trav4elocity.com.', 'trav4elocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocityr.com.', 'travelocityr.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocuty.com.', 'travelocuty.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocity-packages-us-nl.com.', 'travelocity-packages-us-nl.com', 'combo', '217.70.184.38')
(u'travelocity.com', 'trwavelocity.com.', 'trwavelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity-business.com.', 'travelocity-business.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'traveloci5y.com.', 'traveloci5y.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveocity.com.', 'traveocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travleocity.net.', 'travleocity.net', u'typo', '204.74.99.101')
(u'travelocity.com', 'trevelocity.ca.', 'trevelocity.ca', u'homo', '208.73.210.217')
(u'travelocity.com', 'traveliocity.com.', 'traveliocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveoocity.com.', 'traveoocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'dravelocity.com.', 'dravelocity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelicity.net.', 'travelicity.net', u'homo', '23.22.216.234')
(u'travelocity.com', 'travelcity.ru.', 'travelcity.ru', u'typo', '83.222.5.93')
(u'travelocity.com', 'trvelocity.org.', 'trvelocity.org', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloclty.com.', 'traveloclty.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'gravelocity.com.', 'gravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocioty.com.', 'travelocioty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trwvelocity.com.', 'trwvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tdravelocity.com.', 'tdravelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travleocity.com.', 'travleocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trabelocity.net.', 'trabelocity.net', u'typo', '52.52.64.247')
(u'travelocity.com', 'trvelocity.net.', 'trvelocity.net', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.net.', 'travelacity.net', u'homo', '52.52.64.247')
(u'travelocity.com', 'travelolcity.com.', 'travelolcity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travalocity.com.', 'travalocity.com', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelkcity.com.', 'travelkcity.com', u'bits', '204.74.99.101')
(u'travelocity.com', 'travelocifty.com.', 'travelocifty.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'tr4avelocity.com.', 'tr4avelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'trvelocity.com.', 'trvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.com.', 'travelacity.com', u'homo', '66.96.149.23')
(u'travelocity.com', 'travlocity.net.', 'travlocity.net', u'typo', '54.72.9.51')
(u'travelocity.com', 'travelo0city.com.', 'travelo0city.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelocity.co.ve.', 'travelocity.co.ve', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'traverlocity.com.', 'traverlocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveloccity.co.uk.', 'traveloccity.co.uk', u'typo', '64.106.229.221')
(u'travelocity.com', 'travelkocity.com.', 'travelkocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'traveelocity.com.', 'traveelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'my-travelocity.com.', 'my-travelocity.com', 'combo', '204.74.99.101')
(u'travelocity.com', 'travelosity.de.', 'travelosity.de', u'bits', '54.72.9.51')
(u'travelocity.com', 'travelocity.com.pe.', 'travelocity.com.pe', 'wrongTLD', '204.74.99.101')
(u'travelocity.com', 'trafvelocity.com.', 'trafvelocity.com', u'typo', '204.74.99.101')
(u'travelocity.com', 'travelacity.org.', 'travelacity.org', u'homo', '204.74.99.101')
(u'travelocity.com', 'travelocitgy.com.', 'travelocitgy.com', u'typo', '204.74.99.101')
