(u'engadget.com', 'www-engadget.com.', 'www-engadget.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadget.ae.', 'engadget.ae', 'wrongTLD', '184.95.38.196')
(u'engadget.com', 'engadgets.net.', 'engadgets.net', u'typo', '165.160.15.20')
(u'engadget.com', 'egadget.ro.', 'egadget.ro', u'typo', '89.42.13.119')
(u'engadget.com', 'engacget.com.', 'engacget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadge3t.com.', 'engadge3t.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engatget.com.', 'engatget.com', u'bits', '103.224.212.222')
(u'engadget.com', 'engafdget.com.', 'engafdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.co.uk.', 'engadget.co.uk', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadget.help.', 'engadget.help', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'egadget.in.', 'egadget.in', u'typo', '208.91.197.91')
(u'engadget.com', 'engadget-officialsite.com.', 'engadget-officialsite.com', 'combo', '165.160.15.20')
(u'engadget.com', 'rngadget.com.', 'rngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.72')
(u'engadget.com', 'engasdget.com.', 'engasdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.74')
(u'engadget.com', 'engtadget.com.', 'engtadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'egadget.net.', 'egadget.net', u'typo', '176.74.176.187')
(u'engadget.com', 'engaeget.com.', 'engaeget.com', u'bits', '165.160.15.20')
(u'engadget.com', '4ngadget.com.', '4ngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ngadget.co.uk.', 'ngadget.co.uk', u'typo', '104.31.74.8')
(u'engadget.com', 'engadget.info.', 'engadget.info', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadgetr.com.', 'engadgetr.com', u'typo', '165.160.15.20')
(u'engadget.com', 'egadget.ws.', 'egadget.ws', u'typo', '64.70.19.203')
(u'engadget.com', 'negadget.com.', 'negadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engbadget.com.', 'engbadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.co.in.', 'engadget.co.in', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadgets.net.', 'engadgets.net', u'typo', '165.160.13.20')
(u'engadget.com', 'engfadget.com.', 'engfadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ebgadget.com.', 'ebgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadge3t.com.', 'engadge3t.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engacget.com.', 'engacget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadtet.com.', 'engadtet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.com.au.', 'engadget.com.au', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.cn.', 'engadget.cn', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'egadget.com.ua.', 'egadget.com.ua', u'typo', '193.0.61.47')
(u'engadget.com', 'engadget.cn.', 'engadget.cn', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'entadget.com.', 'entadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.help.', 'engadget.help', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'rngadget.com.', 'rngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget-officialsite.com.', 'engadget-officialsite.com', 'combo', '165.160.13.20')
(u'engadget.com', 'ngadget.org.', 'ngadget.org', u'typo', '81.19.145.159')
(u'engadget.com', 'engadget.cn.', 'engadget.cn', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'enagdget.com.', 'enagdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.cn.', 'engadget.cn', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadg3t.com.', 'engadg3t.com', u'typo', '165.160.15.20')
(u'engadget.com', 'enngadget.com.', 'enngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'enghadget.com.', 'enghadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaeget.com.', 'engaeget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'enbadget.com.', 'enbadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.org.', 'engadget.org', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadbet.com.', 'engadbet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.net.', 'engadget.net', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadget.xxx.', 'engadget.xxx', 'wrongTLD', '199.253.28.249')
(u'engadget.com', 'engadget.ch.', 'engadget.ch', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'envadget.com.', 'envadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadged.com.', 'engadged.com', u'bits', '162.210.195.122')
(u'engadget.com', 'efgadget.com.', 'efgadget.com', u'bits', '103.224.212.222')
(u'engadget.com', 'engadged.com.', 'engadged.com', u'bits', '162.210.195.123')
(u'engadget.com', 'engadgetr.com.', 'engadgetr.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.ro.', 'engadget.ro', 'wrongTLD', '85.204.229.56')
(u'engadget.com', 'negadget.com.', 'negadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.co.in.', 'engadget.co.in', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.dev.', 'engadget.dev', 'wrongTLD', '127.0.53.53')
(u'engadget.com', 'engadget.news.', 'engadget.news', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engfadget.com.', 'engfadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ebgadget.com.', 'ebgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgert.com.', 'engadgert.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engqdget.com.', 'engqdget.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engadget.fr.', 'engadget.fr', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadtet.com.', 'engadtet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.com.au.', 'engadget.com.au', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadsget.org.', 'engadsget.org', u'typo', '206.128.152.82')
(u'engadget.com', 'entadget.com.', 'entadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.org.', 'engadget.org', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'en-gadget.com.', 'en-gadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.org.', 'engadget.org', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadet.com.', 'engadet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaxget.com.', 'engaxget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgets.com.au.', 'engadgets.com.au', u'typo', '110.232.141.4')
(u'engadget.com', 'engadghet.com.', 'engadghet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.net.', 'engadget.net', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'enagdget.com.', 'enagdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.net.', 'engadget.net', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'egadget.biz.', 'egadget.biz', u'typo', '188.165.1.100')
(u'engadget.com', 'engadgets.com.', 'engadgets.com', u'typo', '64.12.79.57')
(u'engadget.com', 'engadget.org.', 'engadget.org', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadgey.com.', 'engadgey.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgets.com.', 'engadgets.com', u'typo', '64.12.89.186')
(u'engadget.com', 'engadget.org.', 'engadget.org', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'egadget.pk.', 'egadget.pk', u'typo', '198.38.82.37')
(u'engadget.com', 'engadg3t.com.', 'engadg3t.com', u'typo', '165.160.13.20')
(u'engadget.com', 'enghadget.com.', 'enghadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'enngadget.com.', 'enngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'eengadget.com.', 'eengadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'enbadget.com.', 'enbadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgetg.com.', 'engadgetg.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ongadget.net.', 'ongadget.net', u'homo', '162.218.115.210')
(u'engadget.com', 'ingadget.us.', 'ingadget.us', u'homo', '158.85.166.190')
(u'engadget.com', 'engadget.net.', 'engadget.net', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'engadget.net.', 'engadget.net', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadbet.com.', 'engadbet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ngadget.net.', 'ngadget.net', u'typo', '23.224.37.165')
(u'engadget.com', 'enfadget.com.', 'enfadget.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engadgets.com.', 'engadgets.com', u'typo', '207.200.74.38')
(u'engadget.com', 'engadegt.com.', 'engadegt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgets.com.', 'engadgets.com', u'typo', '149.174.107.97')
(u'engadget.com', 'envadget.com.', 'envadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadfet.com.', 'engadfet.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engsdget.com.', 'engsdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadge6.com.', 'engadge6.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.news.', 'engadget.news', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadgert.com.', 'engadgert.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.nl.', 'engadget.nl', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engadget.nl.', 'engadget.nl', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadget-mobile.com.', 'engadget-mobile.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engqdget.com.', 'engqdget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engadget.fr.', 'engadget.fr', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'angadget.ws.', 'angadget.ws', u'homo', '64.70.19.203')
(u'engadget.com', 'engadet.com.', 'engadet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'en-gadget.com.', 'en-gadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.nl.', 'engadget.nl', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'enhadget.com.', 'enhadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ehgadget.com.', 'ehgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaxget.com.', 'engaxget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.nl.', 'engadget.nl', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engagdet.com.', 'engagdet.com', u'typo', '165.160.15.20')
(u'engadget.com', '3ngadget.com.', '3ngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.co.kr.', 'engadget.co.kr', 'wrongTLD', '149.174.107.97')
(u'engadget.com', 'engadcget.com.', 'engadcget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadghet.com.', 'engadghet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgey.com.', 'engadgey.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgrt.com.', 'engadgrt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgeg.com.', 'engadgeg.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgetg.com.', 'engadgetg.com', u'typo', '165.160.13.20')
(u'engadget.com', 'eengadget.com.', 'eengadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'enfadget.com.', 'enfadget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engadge.cn.', 'engadge.cn', u'typo', '128.1.227.156')
(u'engadget.com', 'engadegt.com.', 'engadegt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'enfgadget.com.', 'enfgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'egadget.us.', 'egadget.us', u'typo', '162.255.119.249')
(u'engadget.com', 'engadfet.com.', 'engadfet.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engsdget.com.', 'engsdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadge6.com.', 'engadge6.com', u'typo', '165.160.13.20')
(u'engadget.com', 'elgadget.club.', 'elgadget.club', u'bits', '66.147.244.76')
(u'engadget.com', 'engadget-mobile.com.', 'engadget-mobile.com', 'combo', '165.160.13.20')
(u'engadget.com', 'dngadget.com.', 'dngadget.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engadgete.com.', 'engadgete.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgef.com.', 'engadgef.com', u'typo', '165.160.15.20')
(u'engadget.com', 'enhadget.com.', 'enhadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engaedget.com.', 'engaedget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgewt.com.', 'engadgewt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ehgadget.com.', 'ehgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engagdet.com.', 'engagdet.com', u'typo', '165.160.13.20')
(u'engadget.com', '3ngadget.com.', '3ngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadge.com.', 'engadge.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgdet.com.', 'engadgdet.com', u'typo', '103.224.212.246')
(u'engadget.com', 'engadcget.com.', 'engadcget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ingadget.tech.', 'ingadget.tech', u'homo', '198.54.117.212')
(u'engadget.com', 'enadget.com.', 'enadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgrt.com.', 'engadgrt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgeg.com.', 'engadgeg.com', u'typo', '165.160.13.20')
(u'engadget.com', 'enhgadget.com.', 'enhgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadfget.com.', 'engadfget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.wang.', 'engadget.wang', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.global.', 'engadget.global', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadzet.pl.', 'engadzet.pl', u'typo', '149.174.110.102')
(u'engadget.com', 'engardget.com.', 'engardget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'egadget.eu.', 'egadget.eu', u'typo', '52.58.78.16')
(u'engadget.com', 'enfgadget.com.', 'enfgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ungadget.net.', 'ungadget.net', u'homo', '184.168.221.33')
(u'engadget.com', 'engwdget.com.', 'engwdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgget.com.', 'engadgget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.co.uk.', 'engadget.co.uk', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadget-pc.com.', 'engadget-pc.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engaget.co.', 'engaget.co', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgete.com.', 'engadgete.com', u'typo', '165.160.13.20')
(u'engadget.com', 'dngadget.com.', 'dngadget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engadgst.com.', 'engadgst.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.xyz.', 'engadget.xyz', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadgett.com.', 'engadgett.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgef.com.', 'engadgef.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadged.com.', 'engadged.com', u'bits', '5.79.68.110')
(u'engadget.com', 'engadgewt.com.', 'engadgewt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'emngadget.com.', 'emngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaedget.com.', 'engaedget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engagdet.one.', 'engagdet.one', u'typo', '217.160.0.222')
(u'engadget.com', 'enyadget.com.', 'enyadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadge.com.', 'engadge.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ngadget.ru.', 'ngadget.ru', u'typo', '46.4.61.207')
(u'engadget.com', 'enadget.com.', 'enadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'emgadget.com.', 'emgadget.com', u'homo', '165.160.15.20')
(u'engadget.com', 'engadgt.com.', 'engadgt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'ungadget.com.', 'ungadget.com', u'homo', '185.53.179.6')
(u'engadget.com', 'enhgadget.com.', 'enhgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgte.com.', 'engadgte.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadzet.pl.', 'engadzet.pl', u'typo', '207.200.74.38')
(u'engadget.com', 'ngadget.us.', 'ngadget.us', u'typo', '198.54.115.120')
(u'engadget.com', 'engarget.com.', 'engarget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.co.uk.', 'engadget.co.uk', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engadget.co.uk.', 'engadget.co.uk', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadfget.com.', 'engadfget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engaget.net.', 'engaget.net', u'typo', '165.160.15.20')
(u'engadget.com', 'engardget.com.', 'engardget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.wang.', 'engadget.wang', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.global.', 'engadget.global', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.pt.', 'engadget.pt', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'ejngadget.com.', 'ejngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgwt.com.', 'engadgwt.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engasget.com.', 'engasget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.co.uk.', 'engadget.co.uk', 'wrongTLD', '207.200.74.38')
(u'engadget.com', 'ewngadget.com.', 'ewngadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'enggadget.com.', 'enggadget.com', u'typo', '192.64.147.196')
(u'engadget.com', 'engwdget.com.', 'engwdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ngadget.tech.', 'ngadget.tech', u'typo', '198.54.117.212')
(u'engadget.com', 'engaget.com.', 'engaget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgget.com.', 'engadgget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget-pc.com.', 'engadget-pc.com', 'combo', '165.160.13.20')
(u'engadget.com', 'engadet.co.', 'engadet.co', u'typo', '165.160.15.20')
(u'engadget.com', 'engaget.co.', 'engaget.co', u'typo', '165.160.13.20')
(u'engadget.com', 'egadget.co.', 'egadget.co', u'typo', '66.96.147.118')
(u'engadget.com', 'engadgst.com.', 'engadgst.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgit.com.', 'engadgit.com', u'homo', '50.63.202.60')
(u'engadget.com', 'engadget.xyz.', 'engadget.xyz', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadgett.com.', 'engadgett.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engzdget.com.', 'engzdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'emngadget.com.', 'emngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.cn.', 'engadget.cn', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'enyadget.com.', 'enyadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadgbet.com.', 'engadgbet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgt.com.', 'engadgt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'emgadget.com.', 'emgadget.com', u'homo', '165.160.13.20')
(u'engadget.com', 'engadgte.com.', 'engadgte.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engarget.com.', 'engarget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engafget.com.', 'engafget.com', u'bits', '165.160.15.20')
(u'engadget.com', 'engaget.net.', 'engaget.net', u'typo', '165.160.13.20')
(u'engadget.com', 'enmgadget.com.', 'enmgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.pt.', 'engadget.pt', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'ejngadget.com.', 'ejngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.social.', 'engadget.social', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadgwt.com.', 'engadgwt.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.co.il.', 'engadget.co.il', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engasget.com.', 'engasget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'ewngadget.com.', 'ewngadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.hk.', 'engadget.hk', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'ngadget.dk.', 'ngadget.dk', u'typo', '194.255.15.19')
(u'engadget.com', 'engaget.com.', 'engaget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engedget.com.', 'engedget.com', u'homo', '103.224.212.222')
(u'engadget.com', 'engadet.co.', 'engadet.co', u'typo', '165.160.13.20')
(u'engadget.com', 'engadge4t.com.', 'engadge4t.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadsget.com.', 'engadsget.com', u'typo', '173.239.2.182')
(u'engadget.com', 'ongadget.co.uk.', 'ongadget.co.uk', u'homo', '88.208.252.238')
(u'engadget.com', 'engadgets.co.uk.', 'engadgets.co.uk', u'typo', '165.160.15.20')
(u'engadget.com', 'engdaget.de.', 'engdaget.de', u'typo', '80.190.216.91')
(u'engadget.com', 'engadger.com.', 'engadger.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.asia.', 'engadget.asia', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engdget.com.', 'engdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.151')
(u'engadget.com', 'egnadget.com.', 'egnadget.com', u'typo', '184.168.221.35')
(u'engadget.com', 'ingadget.com.', 'ingadget.com', u'homo', '165.160.15.20')
(u'engadget.com', 'engadzet.com.pl.', 'engadzet.com.pl', u'typo', '149.174.110.102')
(u'engadget.com', 'engadvet.com.', 'engadvet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engzdget.com.', 'engzdget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.154')
(u'engadget.com', 'egadget.it.', 'egadget.it', u'typo', '185.53.179.6')
(u'engadget.com', 'engadgbet.com.', 'engadgbet.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.online.', 'engadget.online', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget-audiophile.com.', 'engadget-audiophile.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engadgety.com.', 'engadgety.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engaxdget.com.', 'engaxdget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadgfet.com.', 'engadgfet.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.live.', 'engadget.live', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.cloud.', 'engadget.cloud', 'wrongTLD', '62.149.128.157')
(u'engadget.com', 'enbgadget.com.', 'enbgadget.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engadget.com.cn.', 'engadget.com.cn', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadgets.com.', 'engadgets.com', u'typo', '149.174.110.102')
(u'engadget.com', 'engadget-100.com.', 'engadget-100.com', 'combo', '165.160.15.20')
(u'engadget.com', 'engadgeth.com.', 'engadgeth.com', u'typo', '165.160.15.20')
(u'engadget.com', 'engafget.com.', 'engafget.com', u'bits', '165.160.13.20')
(u'engadget.com', 'engadget.biz.', 'engadget.biz', 'wrongTLD', '149.174.110.102')
(u'engadget.com', 'engadget.ph.', 'engadget.ph', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'enmgadget.com.', 'enmgadget.com', u'typo', '165.160.13.20')
(u'engadget.com', 'engadget.co.il.', 'engadget.co.il', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.ch.', 'engadget.ch', 'wrongTLD', '64.12.79.57')
(u'engadget.com', 'engadget.name.', 'engadget.name', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.social.', 'engadget.social', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadget.ch.', 'engadget.ch', 'wrongTLD', '64.12.89.186')
(u'engadget.com', 'engagdet.de.', 'engagdet.de', u'typo', '88.198.231.13')
(u'engadget.com', 'engadget.tech.', 'engadget.tech', 'wrongTLD', '165.160.15.20')
(u'engadget.com', 'engadget.hk.', 'engadget.hk', 'wrongTLD', '165.160.13.20')
(u'engadget.com', 'engadzet.com.pl.', 'engadzet.com.pl', u'typo', '64.12.89.186')
(u'engadget.com', 'engadzet.com.pl.', 'engadzet.com.pl', u'typo', '64.12.79.57')
