(u'huffingtonpost.com', 'huffingtonpost.us.', 'huffingtonpost.us', 'wrongTLD', '54.72.9.51')
(u'huffingtonpost.com', 'hhuffingtonpost.com.', 'hhuffingtonpost.com', u'typo', '72.52.4.120')
(u'huffingtonpost.com', 'huffingtonpost.com.co.', 'huffingtonpost.com.co', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposts.review.', 'huffingtonposts.review', u'typo', '104.27.167.171')
(u'huffingtonpost.com', 'hurffingtonpost.com.', 'hurffingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposr.com.', 'huffingtonposr.com', u'typo', '216.157.88.25')
(u'huffingtonpost.com', 'huffingtonpost.pt.', 'huffingtonpost.pt', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffigntonpost.com.', 'huffigntonpost.com', u'typo', '51.254.28.162')
(u'huffingtonpost.com', 'huffingtonpost.club.', 'huffingtonpost.club', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpoost.com.', 'huffingtonpoost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffinggonpost.com.', 'huffinggonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtopnpost.com.', 'huffingtopnpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost-alt.com.', 'huffingtonpost-alt.com', 'combo', '184.168.221.59')
(u'huffingtonpost.com', 'huffintgonpost.com.', 'huffintgonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffigtonpost.de.', 'huffigtonpost.de', u'typo', '103.224.182.239')
(u'huffingtonpost.com', 'hufingtonpost.ca.', 'hufingtonpost.ca', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffimngtonpost.com.', 'huffimngtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.co.il.', 'huffingtonpost.co.il', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'mail.huffingtonpost-online.com.', 'mail.huffingtonpost-online.com', 'combo', '209.188.86.136')
(u'huffingtonpost.com', 'huffinfgtonpost.com.', 'huffinfgtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hyuffingtonpost.com.', 'hyuffingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposts.it.', 'huffingtonposts.it', u'typo', '45.55.163.121')
(u'huffingtonpost.com', 'huffingtoknpost.com.', 'huffingtoknpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.sy.', 'huffingtonpost.sy', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpsot.com.', 'huffingtonpsot.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.net.', 'huffingtonpost.net', 'wrongTLD', '149.174.110.102')
(u'huffingtonpost.com', 'huffing5onpost.com.', 'huffing5onpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.ca.', 'huffingtonpost.ca', 'wrongTLD', '64.12.89.186')
(u'huffingtonpost.com', 'huffingtonpost.ca.', 'huffingtonpost.ca', 'wrongTLD', '64.12.79.57')
(u'huffingtonpost.com', 'huffigntonpost.com.', 'huffigntonpost.com', u'typo', '158.69.143.112')
(u'huffingtonpost.com', 'huffingtonpoet.com.', 'huffingtonpoet.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hffingtonpost.com.', 'hffingtonpost.com', u'typo', '5.79.68.108')
(u'huffingtonpost.com', 'huffinmgtonpost.com.', 'huffinmgtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingt0npost.com.', 'huffingt0npost.com', u'homo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposto.com.', 'huffingtonposto.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffkingtonpost.com.', 'huffkingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposte.com.', 'huffingtonposte.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hufvfingtonpost.com.', 'hufvfingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'buffingtonpost.info.', 'buffingtonpost.info', u'typo', '208.91.197.27')
(u'huffingtonpost.com', 'huffingtonpost.dk.', 'huffingtonpost.dk', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.website.', 'huffingtonpost.website', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'lhuffingtonpost.fr.', 'lhuffingtonpost.fr', u'homo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpsot.co.uk.', 'huffingtonpsot.co.uk', u'typo', '198.54.116.77')
(u'huffingtonpost.com', 'huffkngtonpost.com.', 'huffkngtonpost.com', u'bits', '74.117.221.21')
(u'huffingtonpost.com', 'huffingtonpost.ca.', 'huffingtonpost.ca', 'wrongTLD', '207.200.74.38')
(u'huffingtonpost.com', 'huffingtonplst.com.', 'huffingtonplst.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.ch.', 'huffingtonpost.ch', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.au.', 'huffingtonpost.com.au', 'wrongTLD', '207.200.74.38')
(u'huffingtonpost.com', 'hufvingtonpost.com.', 'hufvingtonpost.com', u'bits', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.fi.', 'huffingtonpost.fi', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.ca.', 'huffingtonpost.ca', 'wrongTLD', '149.174.107.97')
(u'huffingtonpost.com', 'huffkngtonpost.com.', 'huffkngtonpost.com', u'bits', '74.117.221.22')
(u'huffingtonpost.com', 'huffingt5onpost.com.', 'huffingt5onpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffikngtonpost.com.', 'huffikngtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'xn--huffngtonpost-69b.com.', u'huff\u0131ngtonpost.com', u'homo', '104.18.45.114')
(u'huffingtonpost.com', 'huffingtlnpost.com.', 'huffingtlnpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposwt.com.', 'huffingtonposwt.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtoinpost.com.', 'huffingtoinpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffnigtonpost.com.', 'huffnigtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpostf.com.', 'huffingtonpostf.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposzt.com.', 'huffingtonposzt.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffigtonpost.com.', 'huffigtonpost.com', u'typo', '208.73.211.177')
(u'huffingtonpost.com', 'huffingtonpost.be.', 'huffingtonpost.be', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.dz.', 'huffingtonpost.dz', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huff8ngtonpost.com.', 'huff8ngtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtkonpost.com.', 'huffingtkonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.pl.', 'huffingtonpost.com.pl', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'hurffingtonpost.com.', 'hurffingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.co.', 'huffingtonpost.com.co', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.pt.', 'huffingtonpost.pt', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'srv1-huffingtonpost.ma.', 'srv1-huffingtonpost.ma', 'combo', '209.112.113.33')
(u'huffingtonpost.com', 'huffingytonpost.com.', 'huffingytonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposr.com.', 'huffingtonposr.com', u'typo', '37.48.65.143')
(u'huffingtonpost.com', 'huffingtonposy.com.', 'huffingtonposy.com', u'typo', '50.63.202.30')
(u'huffingtonpost.com', 'ihuffingtonpost.com.', 'ihuffingtonpost.com', u'homo', '66.96.147.105')
(u'huffingtonpost.com', 'huffingtonpost.tokyo.', 'huffingtonpost.tokyo', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.uno.', 'huffingtonpost.uno', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.hk.', 'huffingtonpost.hk', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.wang.', 'huffingtonpost.wang', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonost.com.', 'huffingtonost.com', u'typo', '198.50.233.228')
(u'huffingtonpost.com', 'www-huffingtonpost.com.', 'www-huffingtonpost.com', 'combo', '162.255.119.249')
(u'huffingtonpost.com', 'huffingtonpowst.com.', 'huffingtonpowst.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost-online.com.', 'huffingtonpost-online.com', 'combo', '104.27.138.118')
(u'huffingtonpost.com', 'hu7ffingtonpost.com.', 'hu7ffingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtobpost.com.', 'huffingtobpost.com', u'typo', '50.63.202.13')
(u'huffingtonpost.com', 'huffinfgtonpost.com.', 'huffinfgtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hufifngtonpost.com.', 'hufifngtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.sy.', 'huffingtonpost.sy', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtoknpost.com.', 'huffingtoknpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.pl.', 'huffingtonpost.pl', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.cl.', 'huffingtonpost.cl', 'wrongTLD', '64.12.79.57')
(u'huffingtonpost.com', 'huffingtonpost.cl.', 'huffingtonpost.cl', 'wrongTLD', '64.12.89.186')
(u'huffingtonpost.com', 'huffingtonpost.berlin.', 'huffingtonpost.berlin', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffing5onpost.com.', 'huffing5onpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.gr.', 'huffingtonpost.gr', 'wrongTLD', '149.174.110.102')
(u'huffingtonpost.com', 'huffingvtonpost.com.', 'huffingvtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonopst.com.', 'huffingtonopst.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffinmgtonpost.com.', 'huffinmgtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffintonpost.ws.', 'huffintonpost.ws', u'typo', '64.70.19.203')
(u'huffingtonpost.com', 'huffingt0npost.com.', 'huffingt0npost.com', u'homo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposte.com.', 'huffingtonposte.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hjffingtonpost.com.', 'hjffingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffkingtonpost.com.', 'huffkingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffinvgtonpost.com.', 'huffinvgtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hufvfingtonpost.com.', 'hufvfingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.cl.', 'huffingtonpost.cl', 'wrongTLD', '207.200.74.38')
(u'huffingtonpost.com', 'huffingtonpost.website.', 'huffingtonpost.website', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.mx.', 'huffingtonpost.com.mx', 'wrongTLD', '64.12.89.186')
(u'huffingtonpost.com', 'huffingtonplst.com.', 'huffingtonplst.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.com.mx.', 'huffingtonpost.com.mx', 'wrongTLD', '64.12.79.57')
(u'huffingtonpost.com', 'huffingtonpost.cl.', 'huffingtonpost.cl', 'wrongTLD', '149.174.107.97')
(u'huffingtonpost.com', 'huffingtonpost.eu.', 'huffingtonpost.eu', 'wrongTLD', '144.76.1.130')
(u'huffingtonpost.com', 'huffingtonpostt.com.', 'huffingtonpostt.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hufvingtonpost.com.', 'hufvingtonpost.com', u'bits', '165.160.13.20')
(u'huffingtonpost.com', 'huftingtonpost.com.', 'huftingtonpost.com', u'typo', '27.124.118.252')
(u'huffingtonpost.com', 'huffingtonpost.fi.', 'huffingtonpost.fi', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtlnpost.com.', 'huffingtlnpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffyngtonpost.tk.', 'huffyngtonpost.tk', u'bits', '195.20.45.53')
(u'huffingtonpost.com', 'huffingtonpoest.com.', 'huffingtonpoest.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffikngtonpost.com.', 'huffikngtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposwt.com.', 'huffingtonposwt.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonppst.com.', 'huffingtonppst.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffigtonpost.com.', 'huffigtonpost.com', u'typo', '208.73.210.202')
(u'huffingtonpost.com', 'huffingtonport.com.', 'huffingtonport.com', u'bits', '69.162.80.51')
(u'huffingtonpost.com', 'huffington-post.tk.', 'huffington-post.tk', u'typo', '195.20.41.251')
(u'huffingtonpost.com', 'huffnigtonpost.com.', 'huffnigtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huff8ngtonpost.com.', 'huff8ngtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtunpost.co.', 'huffingtunpost.co', u'homo', '104.18.61.23')
(u'huffingtonpost.com', 'huffingtonpost.biz.', 'huffingtonpost.biz', 'wrongTLD', '54.72.9.51')
(u'huffingtonpost.com', 'huffingftonpost.com.', 'huffingftonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.com.mx.', 'huffingtonpost.com.mx', 'wrongTLD', '149.174.107.97')
(u'huffingtonpost.com', 'huffingtonpost.it.', 'huffingtonpost.it', 'wrongTLD', '149.174.110.102')
(u'huffingtonpost.com', 'huffingytonpost.com.', 'huffingytonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hufcfingtonpost.com.', 'hufcfingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpostc.com.', 'huffingtonpostc.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.uno.', 'huffingtonpost.uno', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonport.com.', 'huffingtonport.com', u'bits', '69.162.80.56')
(u'huffingtonpost.com', 'huffingtonpost.tokyo.', 'huffingtonpost.tokyo', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.hk.', 'huffingtonpost.hk', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.wang.', 'huffingtonpost.wang', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'hu7ffingtonpost.com.', 'hu7ffingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpowst.com.', 'huffingtonpowst.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposts.org.', 'huffingtonposts.org', u'typo', '50.63.202.33')
(u'huffingtonpost.com', 'huffingtonjpost.com.', 'huffingtonjpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huftfingtonpost.com.', 'huftfingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hufifngtonpost.com.', 'hufifngtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffcingtonpost.com.', 'huffcingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hufingtonpost.co.', 'hufingtonpost.co', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.pl.', 'huffingtonpost.pl', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffinytonpost.com.', 'huffinytonpost.com', u'typo', '50.63.202.34')
(u'huffingtonpost.com', 'huffingtonposxt.com.', 'huffingtonposxt.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'nuffingtonpost.com.', 'nuffingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huggingtonpost.com.', 'huggingtonpost.com', u'typo', '199.191.50.73')
(u'huffingtonpost.com', 'hfufingtonpost.com.', 'hfufingtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.berlin.', 'huffingtonpost.berlin', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposts.com.', 'huffingtonposts.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost-adverts.com.', 'huffingtonpost-adverts.com', 'combo', '213.171.195.105')
(u'huffingtonpost.com', 'huffingtunpost.co.', 'huffingtunpost.co', u'homo', '104.18.60.23')
(u'huffingtonpost.com', 'huffingtonpost.at.', 'huffingtonpost.at', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingvtonpost.com.', 'huffingvtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpodst.com.', 'huffingtonpodst.com', u'typo', '184.168.221.8')
(u'huffingtonpost.com', 'huffingtonopst.com.', 'huffingtonopst.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hjffingtonpost.com.', 'hjffingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposts.net.', 'huffingtonposts.net', u'typo', '50.63.202.36')
(u'huffingtonpost.com', 'huffingttonpost.co.uk.', 'huffingttonpost.co.uk', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffinvgtonpost.com.', 'huffinvgtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffijgtonpost.com.', 'huffijgtonpost.com', u'bits', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpostt.com.', 'huffingtonpostt.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffibngtonpost.com.', 'huffibngtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffiongtonpost.com.', 'huffiongtonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonppst.com.', 'huffingtonppst.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpoest.com.', 'huffingtonpoest.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffing6tonpost.com.', 'huffing6tonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpoist.com.', 'huffingtonpoist.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'anti-huffingtonpostpost.info.', 'anti-huffingtonpostpost.info', 'combo', '205.178.189.131')
(u'huffingtonpost.com', 'huffinftonpost.com.', 'huffinftonpost.com', u'bits', '51.254.28.162')
(u'huffingtonpost.com', 'huffingftonpost.com.', 'huffingftonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffinngtonpost.com.', 'huffinngtonpost.com', u'typo', '37.48.65.136')
(u'huffingtonpost.com', 'huffingtonpostc.com.', 'huffingtonpostc.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hufcfingtonpost.com.', 'hufcfingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonlpost.com.', 'huffingtonlpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposts.tk.', 'huffingtonposts.tk', u'typo', '195.20.41.175')
(u'huffingtonpost.com', 'uffingtonpost.it.', 'uffingtonpost.it', u'typo', '185.53.177.29')
(u'huffingtonpost.com', 'huffinctonpost.com.', 'huffinctonpost.com', u'bits', '185.53.179.7')
(u'huffingtonpost.com', 'hucfingtonpost.com.', 'hucfingtonpost.com', u'typo', '52.4.209.250')
(u'huffingtonpost.com', 'huffingtonpkst.com.', 'huffingtonpkst.com', u'bits', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtknpost.com.', 'huffingtknpost.com', u'bits', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.co.nz.', 'huffingtonpost.co.nz', 'wrongTLD', '149.174.110.102')
(u'huffingtonpost.com', 'huffingtonpkost.com.', 'huffingtonpkost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonp0ost.com.', 'huffingtonp0ost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'hyffingtonpost.com.', 'hyffingtonpost.com', u'typo', '184.168.221.28')
(u'huffingtonpost.com', 'huffingtonjpost.com.', 'huffingtonjpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hudfingtonpost.com.', 'hudfingtonpost.com', u'bits', '54.72.9.51')
(u'huffingtonpost.com', 'huftfingtonpost.com.', 'huftfingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.cc.', 'huffingtonpost.cc', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonpost.co.kr.', 'huffingtonpost.co.kr', 'wrongTLD', '121.254.178.250')
(u'huffingtonpost.com', 'huffcingtonpost.com.', 'huffcingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpos.com.', 'huffingtonpos.com', u'typo', '162.210.196.167')
(u'huffingtonpost.com', 'hufingtonpost.co.', 'hufingtonpost.co', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpos.com.', 'huffingtonpos.com', u'typo', '162.210.196.168')
(u'huffingtonpost.com', 'huffingt0onpost.com.', 'huffingt0onpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposxt.com.', 'huffingtonposxt.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.in.', 'huffingtonpost.in', 'wrongTLD', '64.12.89.186')
(u'huffingtonpost.com', 'huffingtonpost.in.', 'huffingtonpost.in', 'wrongTLD', '64.12.79.57')
(u'huffingtonpost.com', 'huffingtonpost.ru.', 'huffingtonpost.ru', 'wrongTLD', '165.160.15.20')
(u'huffingtonpost.com', 'nuffingtonpost.com.', 'nuffingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'hfufingtonpost.com.', 'hfufingtonpost.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposti.com.', 'huffingtonposti.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonposts.com.', 'huffingtonposts.com', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonpost.at.', 'huffingtonpost.at', 'wrongTLD', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtfonpost.com.', 'huffingtfonpost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingtonplost.com.', 'huffingtonplost.com', u'typo', '165.160.15.20')
(u'huffingtonpost.com', 'huffingttonpost.co.uk.', 'huffingttonpost.co.uk', u'typo', '165.160.13.20')
(u'huffingtonpost.com', 'huffingtonposst.com.', 'huffingtonposst.com', u'typo', '146.148.34.125')
(u'huffingtonpost.com', 'huffingtonpost.in.', 'huffingtonpost.in', 'wrongTLD', '207.200.74.38')
(u'huffingtonpost.com', 'huffingtonpos.com.', 'huffingtonpos.com', u'typo', '199.115.116.216')
