(u'bloomberg.com', 'bloomberg.sn.', 'bloomberg.sn', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-trading.com.', 'bloomberg-trading.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.foundation.', 'bloomberg.foundation', 'wrongTLD', '165.160.15.20')
(u'bloomberg.com', 'find-bloomberg.net.', 'find-bloomberg.net', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.click.', 'bloomberg.click', 'wrongTLD', '207.250.29.220')
(u'bloomberg.com', 'blopmberg.com.', 'blopmberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'boomberg.com.', 'boomberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.be.', 'bloomberg.be', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.co.kr.', 'bloomberg.co.kr', 'wrongTLD', '52.86.182.94')
(u'bloomberg.com', 'bliomberg.com.', 'bliomberg.com', u'homo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.click.', 'bloomberg.click', 'wrongTLD', '207.250.29.221')
(u'bloomberg.com', 'bloolmberg.com.', 'bloolmberg.com', u'typo', '208.73.211.177')
(u'bloomberg.com', 'bloomberg-china.com.', 'bloomberg-china.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomborg.eu.', 'bloomborg.eu', u'homo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-initiative.com.', 'bloomberg-initiative.com', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloombrg.com.', 'bloombrg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bolomberg.com.', 'bolomberg.com', u'typo', '199.59.242.150')
(u'bloomberg.com', 'alarab-bloomberg.net.', 'alarab-bloomberg.net', 'combo', '192.145.236.176')
(u'bloomberg.com', 'blomberg.fi.', 'blomberg.fi', u'typo', '193.93.133.82')
(u'bloomberg.com', 'bloomberg.tm.', 'bloomberg.tm', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.dm.', 'bloomberg.dm', 'wrongTLD', '165.160.13.20')
(u'bloomberg.com', 'bloomburg.co.uk.', 'bloomburg.co.uk', u'homo', '185.53.179.6')
(u'bloomberg.com', 'find-bloomberg.com.', 'find-bloomberg.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.fm.', 'bloomberg.fm', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'mike-bloomberg.org.', 'mike-bloomberg.org', 'combo', '165.160.13.20')
(u'bloomberg.com', 'loomberg.net.', 'loomberg.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bl0omberg.org.', 'bl0omberg.org', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloomber.eu.', 'bloomber.eu', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloommberg.org.', 'bloommberg.org', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.uz.', 'bloomberg.uz', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gov.org.', 'bloomberg-gov.org', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloombarg.com.', 'bloombarg.com', u'homo', '208.73.211.177')
(u'bloomberg.com', 'alarab-bloomberg.com.', 'alarab-bloomberg.com', 'combo', '192.145.236.176')
(u'bloomberg.com', 'loomberg.eu.', 'loomberg.eu', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.tw.', 'bloomberg.tw', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'mike-bloomberg.net.', 'mike-bloomberg.net', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomber.de.', 'bloomber.de', u'typo', '54.72.9.51')
(u'bloomberg.com', 'bloomberg-government.tw.', 'bloomberg-government.tw', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloommberg.net.', 'bloommberg.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomburg.info.', 'bloomburg.info', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bl0omberg.net.', 'bl0omberg.net', u'homo', '69.191.212.191')
(u'bloomberg.com', 'loomberg.com.', 'loomberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-government.jp.', 'bloomberg-government.jp', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg-co.com.', 'bloomberg-co.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gov.net.', 'bloomberg-gov.net', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-gov.in.', 'bloomberg-gov.in', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg.com.ar.', 'bloomberg.com.ar', 'wrongTLD', '165.160.13.20')
(u'bloomberg.com', 'bloomberg.com.co.', 'bloomberg.com.co', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.com.sg.', 'bloomberg.com.sg', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gov.eu.', 'bloomberg-gov.eu', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg.com.sb.', 'bloomberg.com.sb', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloombeg.com.', 'bloombeg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.fj.', 'bloomberg.com.fj', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'mike-bloomberg.com.', 'mike-bloomberg.com', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloommberg.com.', 'bloommberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.ba.', 'bloomberg.ba', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bl0omberg.com.', 'bl0omberg.com', u'homo', '69.191.212.191')
(u'bloomberg.com', 'ibloomberg.com.', 'ibloomberg.com', u'homo', '69.191.251.238')
(u'bloomberg.com', 'boomberg.nyc.', 'boomberg.nyc', u'typo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-inc.com.', 'bloomberg-inc.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gov.com.', 'bloomberg-gov.com', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomverg.com.', 'bloomverg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bkoomberg.com.', 'bkoomberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'blo0omberg.net.', 'blo0omberg.net', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.gg.', 'bloomberg.gg', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloombefg.com.', 'bloombefg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.jm.', 'bloomberg.com.jm', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.com.sv.', 'bloomberg.com.sv', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'blooomberg.org.', 'blooomberg.org', u'typo', '69.191.212.191')
(u'bloomberg.com', 'blomberg.xyz.', 'blomberg.xyz', u'typo', '150.95.255.38')
(u'bloomberg.com', 'bloomberg.pk.', 'bloomberg.pk', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.foundation.', 'bloomberg.foundation', 'wrongTLD', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-web-online.com.', 'bloomberg-web-online.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomgberg.com.', 'bloomgberg.com', u'typo', '216.157.88.25')
(u'bloomberg.com', 'blommberg.de.', 'blommberg.de', u'bits', '46.4.13.97')
(u'bloomberg.com', 'bloolmberg.com.', 'bloolmberg.com', u'typo', '208.73.210.202')
(u'bloomberg.com', 'bloomberg.com.mx.', 'bloomberg.com.mx', 'wrongTLD', '52.86.148.246')
(u'bloomberg.com', 'blo0omberg.com.', 'blo0omberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bbloomberg.com.', 'bbloomberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'blooomberg.net.', 'blooomberg.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gbf.org.', 'bloomberg-gbf.org', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloombergg.com.', 'bloombergg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloombert.net.', 'bloombert.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'blkoomberg.com.', 'blkoomberg.com', u'typo', '184.168.221.29')
(u'bloomberg.com', 'bloombergw.org.', 'bloombergw.org', u'typo', '69.191.251.238')
(u'bloomberg.com', 'blomberg.me.', 'blomberg.me', u'typo', '46.30.215.63')
(u'bloomberg.com', 'bloomberg-financial.com.', 'bloomberg-financial.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gbf.net.', 'bloomberg-gbf.net', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg.bz.', 'bloomberg.bz', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloemberg.academy.', 'bloemberg.academy', u'homo', '91.184.0.100')
(u'bloomberg.com', 'blooomberg.com.', 'blooomberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-tv.net.', 'bloomberg-tv.net', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloombrg.in.', 'bloombrg.in', u'typo', '103.209.144.103')
(u'bloomberg.com', 'bloomberg.es.', 'bloomberg.es', 'wrongTLD', '165.160.15.20')
(u'bloomberg.com', 'bloombergw.net.', 'bloombergw.net', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.bh.', 'bloomberg.com.bh', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberz.com.', 'bloomberz.com', u'typo', '69.28.199.70')
(u'bloomberg.com', 'bloomberg.com.bm.', 'bloomberg.com.bm', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloombeg.eu.', 'bloombeg.eu', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.ec.', 'bloomberg.com.ec', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.co.nz.', 'bloomberg.co.nz', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloombert.eu.', 'bloombert.eu', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloombarg.com.', 'bloombarg.com', u'homo', '208.73.210.202')
(u'bloomberg.com', 'bloomberg.hk.', 'bloomberg.hk', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloombert.com.', 'bloombert.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomborg.org.', 'bloomborg.org', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloombe4rg.com.', 'bloombe4rg.com', u'typo', '173.239.8.164')
(u'bloomberg.com', 'bloomberg-web-inc.com.', 'bloomberg-web-inc.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.net.cn.', 'bloomberg.net.cn', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-tv.com.', 'bloomberg-tv.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gbf.com.', 'bloomberg-gbf.com', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg-government.tw.', 'bloomberg-government.tw', 'combo', '165.160.13.20')
(u'bloomberg.com', 'blooomberg.eu.', 'blooomberg.eu', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-government.jp.', 'bloomberg-government.jp', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloombergw.com.', 'bloombergw.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gov.in.', 'bloomberg-gov.in', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomborg.net.', 'bloomborg.net', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloombertg.com.', 'bloombertg.com', u'typo', '72.52.4.122')
(u'bloomberg.com', 'bloomberg-gov.eu.', 'bloomberg-gov.eu', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-hk.com.', 'bloomberg-hk.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bvloomberg.com.', 'bvloomberg.com', u'typo', '184.168.221.9')
(u'bloomberg.com', 'bloomberg.com.ro.', 'bloomberg.com.ro', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.mx.', 'bloomberg.com.mx', 'wrongTLD', '52.86.182.94')
(u'bloomberg.com', 'blloomberg.com.', 'blloomberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomborg.com.', 'bloomborg.com', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.tt.', 'bloomberg.tt', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gov.pro.', 'bloomberg-gov.pro', 'combo', '165.160.15.20')
(u'bloomberg.com', 'blomberg.sex.', 'blomberg.sex', u'typo', '217.19.248.132')
(u'bloomberg.com', 'bloomberg.nf.', 'bloomberg.nf', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'blomberg.name.', 'blomberg.name', u'typo', '45.58.52.174')
(u'bloomberg.com', 'bloomberge.no.', 'bloomberge.no', u'typo', '46.30.215.116')
(u'bloomberg.com', 'www-bloomberg.com.', 'www-bloomberg.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.com.ge.', 'bloomberg.com.ge', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.ir.', 'bloomberg.ir', 'wrongTLD', '185.88.152.12')
(u'bloomberg.com', 'bloomberg.sk.', 'bloomberg.sk', 'wrongTLD', '46.229.230.36')
(u'bloomberg.com', 'bl00mberg.org.', 'bl00mberg.org', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloemberg.nu.', 'bloemberg.nu', u'homo', '195.8.208.190')
(u'bloomberg.com', 'bloomberg-pro.com.', 'bloomberg-pro.com', 'combo', '104.31.75.193')
(u'bloomberg.com', 'blomberg.eu.', 'blomberg.eu', u'typo', '62.153.231.47')
(u'bloomberg.com', 'bloomberg-fon.org.', 'bloomberg-fon.org', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloombetg.com.', 'bloombetg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomerg.com.', 'bloomerg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-usa.com.', 'bloomberg-usa.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-gbf.org.', 'bloomberg-gbf.org', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg.com.gt.', 'bloomberg.com.gt', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bl00mberg.net.', 'bl00mberg.net', u'homo', '69.191.212.191')
(u'bloomberg.com', 'blomberg.es.', 'blomberg.es', u'typo', '46.30.213.255')
(u'bloomberg.com', 'bloomberg-online.com.', 'bloomberg-online.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberb.eu.', 'bloomberb.eu', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-law.eu.', 'bloomberg-law.eu', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.ph.', 'bloomberg.ph', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'michael-bloomberg.org.', 'michael-bloomberg.org', 'combo', '165.160.15.20')
(u'bloomberg.com', 'blomberg.com.sg.', 'blomberg.com.sg', u'typo', '49.128.36.230')
(u'bloomberg.com', 'bloomberg-gbf.net.', 'bloomberg-gbf.net', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg.com.bs.', 'bloomberg.com.bs', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-tv.de.', 'bloomberg-tv.de', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.es.', 'bloomberg.es', 'wrongTLD', '165.160.13.20')
(u'bloomberg.com', 'bl00mberg.com.', 'bl00mberg.com', u'homo', '69.191.212.191')
(u'bloomberg.com', 'blppmberg.com.', 'blppmberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'michael-bloomberg.net.', 'michael-bloomberg.net', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberb.com.', 'bloomberb.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-arts.me.', 'bloomberg-arts.me', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloombedg.com.', 'bloombedg.com', u'typo', '184.168.221.37')
(u'bloomberg.com', 'bloomberg.com.au.', 'bloomberg.com.au', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'blomoberg.com.', 'blomoberg.com', u'typo', '185.53.179.6')
(u'bloomberg.com', 'vloomberg.eu.', 'vloomberg.eu', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.ae.', 'bloomberg.ae', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloonberg.org.', 'bloonberg.org', u'homo', '212.24.109.67')
(u'bloomberg.com', 'spa-bloomberg-event.com.', 'spa-bloomberg-event.com', 'combo', '67.210.125.155')
(u'bloomberg.com', 'bloomberg-gbf.com.', 'bloomberg-gbf.com', 'combo', '165.160.13.20')
(u'bloomberg.com', 'blomberg.pl.', 'blomberg.pl', u'typo', '81.175.214.68')
(u'bloomberg.com', 'bloomberg.cu.', 'bloomberg.cu', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'xn--blmberg-b1aa.org.', u'bl\xf6\xf6mberg.org', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.com.pe.', 'bloomberg.com.pe', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-partners.com.', 'bloomberg-partners.com', 'combo', '23.236.62.147')
(u'bloomberg.com', 'blopomberg.com.', 'blopomberg.com', u'typo', '184.168.221.24')
(u'bloomberg.com', 'michael-bloomberg.com.', 'michael-bloomberg.com', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg.id.', 'bloomberg.id', 'wrongTLD', '165.160.15.20')
(u'bloomberg.com', 'bloombreg.com.', 'bloombreg.com', u'typo', '54.72.9.51')
(u'bloomberg.com', 'bloomberg.com.hn.', 'bloomberg.com.hn', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-web.com.', 'bloomberg-web.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloombergx.com.', 'bloombergx.com', u'typo', '72.47.234.240')
(u'bloomberg.com', 'bloomberg-web-usa.com.', 'bloomberg-web-usa.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.biz.', 'bloomberg.biz', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.com.my.', 'bloomberg.com.my', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gov.pro.', 'bloomberg-gov.pro', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg.net.', 'bloomberg.net', 'wrongTLD', '69.187.23.20')
(u'bloomberg.com', 'news-bloomberg.org.', 'news-bloomberg.org', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloombergo.org.', 'bloombergo.org', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloimberg.com.', 'bloimberg.com', u'homo', '69.191.212.191')
(u'bloomberg.com', 'bioomberg.com.', 'bioomberg.com', u'homo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.cg.', 'bloomberg.cg', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'bloombarg.co.uk.', 'bloombarg.co.uk', u'homo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-government.tel.', 'bloomberg-government.tel', 'combo', '52.50.143.27')
(u'bloomberg.com', 'bloomberg.com.uz.', 'bloomberg.com.uz', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.li.', 'bloomberg.li', 'wrongTLD', '165.160.15.20')
(u'bloomberg.com', 'bloomberg.com.bo.', 'bloomberg.com.bo', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'boloomberg.com.', 'boloomberg.com', u'typo', '216.157.88.22')
(u'bloomberg.com', 'blpomberg.com.', 'blpomberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'news-bloomberg.net.', 'news-bloomberg.net', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-initiatives.tv.', 'bloomberg-initiatives.tv', 'combo', '165.160.15.20')
(u'bloomberg.com', 'blomberg.onl.', 'blomberg.onl', u'typo', '46.30.213.178')
(u'bloomberg.com', 'bloomburg.nyc.', 'bloomburg.nyc', u'homo', '165.160.15.20')
(u'bloomberg.com', 'bloolmberg.com.', 'bloolmberg.com', u'typo', '208.73.210.217')
(u'bloomberg.com', 'bloombergo.net.', 'bloombergo.net', u'typo', '69.191.212.191')
(u'bloomberg.com', 'blooberg.org.', 'blooberg.org', u'typo', '69.191.251.238')
(u'bloomberg.com', 'boloomberg.com.', 'boloomberg.com', u'typo', '216.157.88.24')
(u'bloomberg.com', 'hloomberg.com.', 'hloomberg.com', u'typo', '104.18.58.143')
(u'bloomberg.com', 'news-bloomberg.eu.', 'news-bloomberg.eu', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-wireless.org.', 'bloomberg-wireless.org', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.pn.', 'bloomberg.pn', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bllomberg.com.', 'bllomberg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.ps.', 'bloomberg.ps', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'boloomberg.com.', 'boloomberg.com', u'typo', '216.157.88.26')
(u'bloomberg.com', 'bloomberg.je.', 'bloomberg.je', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'news-bloomberg.com.', 'news-bloomberg.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.lu.', 'bloomberg.lu', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloomberrg.com.', 'bloomberrg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'michael-bloomberg.org.', 'michael-bloomberg.org', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-wireless.net.', 'bloomberg-wireless.net', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloombergl.com.', 'bloombergl.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'bloombergo.com.', 'bloombergo.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-news.net.', 'bloomberg-news.net', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-university.eu.', 'bloomberg-university.eu', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg-intl.com.', 'bloomberg-intl.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-gov.tw.', 'bloomberg-gov.tw', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg-inc.eu.', 'bloomberg-inc.eu', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg-arts.me.', 'bloomberg-arts.me', 'combo', '165.160.13.20')
(u'bloomberg.com', 'michael-bloomberg.net.', 'michael-bloomberg.net', 'combo', '165.160.13.20')
(u'bloomberg.com', 'bloomberg-gov.jp.', 'bloomberg-gov.jp', 'combo', '165.160.15.20')
(u'bloomberg.com', 'bloomberg-mradiance.us.com.', 'bloomberg-mradiance.us.com', 'combo', '52.33.196.199')
(u'bloomberg.com', 'bloombarg.com.', 'bloombarg.com', u'homo', '208.73.210.217')
(u'bloomberg.com', 'bloomberg-optimamedia.com.', 'bloomberg-optimamedia.com', 'combo', '162.213.255.72')
(u'bloomberg.com', 'bloomnerg.com.', 'bloomnerg.com', u'typo', '69.191.212.191')
(u'bloomberg.com', 'bnloomberg.com.', 'bnloomberg.com', u'typo', '184.168.221.1')
(u'bloomberg.com', 'blooberg.com.', 'blooberg.com', u'typo', '69.191.251.238')
(u'bloomberg.com', 'who-is-dave-bloomberg.net.', 'who-is-dave-bloomberg.net', 'combo', '184.168.221.51')
(u'bloomberg.com', 'find-bloomberg.org.', 'find-bloomberg.org', 'combo', '69.191.251.238')
(u'bloomberg.com', 'i-bloomberg.com.', 'i-bloomberg.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'bloomberg.org.cn.', 'bloomberg.org.cn', 'wrongTLD', '69.191.251.238')
(u'bloomberg.com', 'who-is-dave-bloomberg.org.', 'who-is-dave-bloomberg.org', 'combo', '184.168.221.55')
(u'bloomberg.com', 'bloomberg.com.pk.', 'bloomberg.com.pk', 'wrongTLD', '69.191.212.191')
(u'bloomberg.com', 'bloombnerg.com.', 'bloombnerg.com', u'typo', '50.63.202.30')
(u'bloomberg.com', 'bloomberg-wireless.com.', 'bloomberg-wireless.com', 'combo', '69.191.212.191')
(u'bloomberg.com', 'fuck-bloomberg.com.', 'fuck-bloomberg.com', 'combo', '50.63.202.32')
(u'bloomberg.com', 'bloomberg-news.com.', 'bloomberg-news.com', 'combo', '69.191.251.238')
(u'bloomberg.com', 'bloomberg.jobs.', 'bloomberg.jobs', 'wrongTLD', '50.19.241.165')
