(u'citationmachine.net', 'citationmachne.net.', 'citationmachne.net', u'typo', '208.91.196.152')
(u'citationmachine.net', 'cittionmachine.net.', 'cittionmachine.net', u'typo', '208.91.196.152')
(u'citationmachine.net', 'citationmachinet.net.', 'citationmachinet.net', u'typo', '69.162.80.53')
(u'citationmachine.net', 'citaitonmachine.com.', 'citaitonmachine.com', u'typo', '209.15.13.134')
(u'citationmachine.net', 'citationmachinet.net.', 'citationmachinet.net', u'typo', '69.162.80.56')
(u'citationmachine.net', 'citationmachin.com.', 'citationmachin.com', u'typo', '208.91.196.152')
(u'citationmachine.net', 'citationmachinet.net.', 'citationmachinet.net', u'typo', '69.162.80.57')
(u'citationmachine.net', 'citationmechine.net.', 'citationmechine.net', u'homo', '141.8.224.169')
(u'citationmachine.net', 'sitationmachine.com.', 'sitationmachine.com', u'bits', '209.15.13.134')
(u'citationmachine.net', 'citationmachines.net.', 'citationmachines.net', u'typo', '67.227.226.241')
(u'citationmachine.net', 'citation-machine.net.', 'citation-machine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citatonmachine.net.', 'citatonmachine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachin.net.', 'citationmachin.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citation-machine.com.', 'citation-machine.com', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmachine.tk.', 'citationmachine.tk', 'wrongTLD', '104.31.74.114')
(u'citationmachine.net', 'citationmacine.net.', 'citationmacine.net', u'typo', '199.191.50.73')
(u'citationmachine.net', 'citationmacine.com.', 'citationmacine.com', u'typo', '69.172.201.153')
