(u'verizonwireless.com', 'verizonwareless.com.', 'verizonwareless.com', u'homo', '184.168.221.60')
(u'verizonwireless.com', 'verizonwirless.tk.', 'verizonwirless.tk', u'typo', '195.20.42.83')
(u'verizonwireless.com', 've2izonwireless.com.', 've2izonwireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizenwireless.com.', 'verizenwireless.com', u'homo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwiroless.com.', 'verizonwiroless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'veriaonwireless.net.', 'veriaonwireless.net', u'typo', '103.224.212.222')
(u'verizonwireless.com', 'vberizonwireless.com.', 'vberizonwireless.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verizonwierless.com.', 'verizonwierless.com', u'typo', '202.31.187.154')
(u'verizonwireless.com', 'verizonwiremess.com.', 'verizonwiremess.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwoireless.com.', 'verizonwoireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireleess.com.', 'verizonwireleess.com', u'typo', '98.124.199.91')
(u'verizonwireless.com', 'verizonwirelese.com.', 'verizonwirelese.com', u'typo', '52.4.209.250')
(u'verizonwireless.com', 'verizonwirweless.com.', 'verizonwirweless.com', u'typo', '98.124.199.104')
(u'verizonwireless.com', 'verizzonwireless.com.', 'verizzonwireless.com', u'typo', '103.224.212.222')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '23.215.104.224')
(u'verizonwireless.com', 'verizoinwireless.com.', 'verizoinwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '23.215.104.224')
(u'verizonwireless.com', 'veriizonwireless.com.', 'veriizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireness.com.', 'verizonwireness.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonswireless.net.', 'verizonswireless.net', u'typo', '198.71.232.3')
(u'verizonwireless.com', 'verizonwirelss.com.', 'verizonwirelss.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '204.188.136.83')
(u'verizonwireless.com', 'verzonwireless.com.', 'verzonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '204.188.136.148')
(u'verizonwireless.com', 'verizonwirgless.com.', 'verizonwirgless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'vverizonwireless.com.', 'vverizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '66.171.224.58')
(u'verizonwireless.com', 'verizonewireless.com.', 'verizonewireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwyreless.com.', 'verizonwyreless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'veryzonwireless.com.', 'veryzonwireless.com', u'bits', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirekless.com.', 'verizonwirekless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwiveless.com.', 'verizonwiveless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwirfeless.com.', 'verizonwirfeless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verioznwireless.com.', 'verioznwireless.com', u'typo', '51.254.28.160')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '198.172.88.73')
(u'verizonwireless.com', 'verizonwireless.tokyo.', 'verizonwireless.tokyo', 'wrongTLD', '150.95.255.38')
(u'verizonwireless.com', 'veerizonwireless.com.', 'veerizonwireless.com', u'typo', '98.124.199.46')
(u'verizonwireless.com', 'verizonwireless-ev.com.', 'verizonwireless-ev.com', 'combo', '199.73.27.71')
(u'verizonwireless.com', 'verizonwirrless.com.', 'verizonwirrless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veriz0nwireless.com.', 'veriz0nwireless.com', u'homo', '103.224.182.240')
(u'verizonwireless.com', 'veriuzonwireless.com.', 'veriuzonwireless.com', u'typo', '103.224.212.222')
(u'verizonwireless.com', 'verizonwirelesd.com.', 'verizonwirelesd.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirelessw.com.', 'verizonwirelessw.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwiruless.com.', 'verizonwiruless.com', u'homo', '162.243.242.172')
(u'verizonwireless.com', 'verizonwirele3s.com.', 'verizonwirele3s.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'berizonwireless.com.', 'berizonwireless.com', u'typo', '185.53.179.6')
(u'verizonwireless.com', 'verizowireless.com.', 'verizowireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verozonwireless.com.', 'verozonwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwieeless.com.', 'verizonwieeless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonnwireless.com.', 'verizonnwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelrss.com.', 'verizonwirelrss.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veruzonwireless.com.', 'veruzonwireless.com', u'homo', '54.72.9.51')
(u'verizonwireless.com', 'verizonwierless.net.', 'verizonwierless.net', u'typo', '69.172.201.153')
(u'verizonwireless.com', 'verizonwirelass.com.', 'verizonwirelass.com', u'homo', '103.224.182.238')
(u'verizonwireless.com', 'verazonwireless.com.', 'verazonwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'veriszonwireless.com.', 'veriszonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonbwireless.com.', 'verizonbwireless.com', u'typo', '98.124.199.84')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '23.215.104.224')
(u'verizonwireless.com', 'verizonwureless.com.', 'verizonwureless.com', u'homo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirelmss.com.', 'verizonwirelmss.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizoonwireless.com.', 'verizoonwireless.com', u'typo', '85.159.233.55')
(u'verizonwireless.com', 'vderizonwireless.com.', 'vderizonwireless.com', u'typo', '184.168.221.79')
(u'verizonwireless.com', 'verizonwireless.xxx.', 'verizonwireless.xxx', 'wrongTLD', '199.253.28.9')
(u'verizonwireless.com', 'verizonwitreless.com.', 'verizonwitreless.com', u'typo', '23.215.104.209')
(u'verizonwireless.com', 'verizonwireldss.com.', 'verizonwireldss.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwireless.jobs.', 'verizonwireless.jobs', 'wrongTLD', '72.52.10.14')
(u'verizonwireless.com', 'verizorwireless.com.', 'verizorwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelwss.com.', 'verizonwirelwss.com', u'typo', '198.50.233.229')
(u'verizonwireless.com', 'vertizonwireless.com.', 'vertizonwireless.com', u'typo', '103.224.212.222')
(u'verizonwireless.com', 'verironwireless.com.', 'verironwireless.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireess.com.', 'verizonwireess.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwiseless.com.', 'verizonwiseless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'veriznwireless.com.', 'veriznwireless.com', u'typo', '65.181.220.111')
(u'verizonwireless.com', 'verixonwireless.com.', 'verixonwireless.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'verizonweireless.com.', 'verizonweireless.com', u'typo', '103.224.182.240')
(u'verizonwireless.com', 'veirzonwireless.com.', 'veirzonwireless.com', u'typo', '103.224.182.240')
(u'verizonwireless.com', 'vetizonwireless.com.', 'vetizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verrizonwireless.com.', 'verrizonwireless.com', u'typo', '103.224.182.238')
(u'verizonwireless.com', 'veizonwireless.net.', 'veizonwireless.net', u'typo', '185.53.178.9')
(u'verizonwireless.com', 'vreizonwireless.com.', 'vreizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirleess.com.', 'verizonwirleess.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwreless.com.', 'verizonwreless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwuireless.com.', 'verizonwuireless.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'verizolnwireless.com.', 'verizolnwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelesz.com.', 'verizonwirelesz.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireless.cloud.', 'verizonwireless.cloud', 'wrongTLD', '208.91.197.27')
(u'verizonwireless.com', 'verizonwieless.com.', 'verizonwieless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizoonwireless.com.', 'verizoonwireless.com', u'typo', '85.159.233.63')
(u'verizonwireless.com', 'verizonwirelwss.com.', 'verizonwirelwss.com', u'typo', '85.159.233.35')
(u'verizonwireless.com', 'vewrizonwireless.com.', 'vewrizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireeless.com.', 'verizonwireeless.com', u'typo', '149.202.120.42')
(u'verizonwireless.com', 'verizonwireeless.com.', 'verizonwireeless.com', u'typo', '149.202.120.44')
(u'verizonwireless.com', 'verizonwirelesw.com.', 'verizonwirelesw.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'verizonwi2eless.com.', 'verizonwi2eless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwirelsess.com.', 'verizonwirelsess.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirless.com.', 'verizonwirless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vwerizonwireless.com.', 'vwerizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireleds.com.', 'verizonwireleds.com', u'typo', '45.33.9.234')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verizonwireeless.com.', 'verizonwireeless.com', u'typo', '149.202.120.46')
(u'verizonwireless.com', 'verizonwireliss.com.', 'verizonwireliss.com', u'homo', '103.224.182.238')
(u'verizonwireless.com', 'verizonwitreless.com.', 'verizonwitreless.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'verizownireless.com.', 'verizownireless.com', u'typo', '23.108.49.20')
(u'verizonwireless.com', 'verizonwirelwss.com.', 'verizonwirelwss.com', u'typo', '198.50.233.238')
(u'verizonwireless.com', 'werizonwireless.com.', 'werizonwireless.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'verisonwireless.org.', 'verisonwireless.org', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireluss.com.', 'verizonwireluss.com', u'homo', '162.243.242.172')
(u'verizonwireless.com', 'verizeonwireless.com.', 'verizeonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'verisonwireless.net.', 'verisonwireless.net', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizon-wireless.org.', 'verizon-wireless.org', u'typo', '50.63.202.52')
(u'verizonwireless.com', 'verizonwireledd.com.', 'verizonwireledd.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vrrizonwireless.com.', 'vrrizonwireless.com', u'typo', '209.99.40.223')
(u'verizonwireless.com', 'verizonwireless-employmentvalidation.com.', 'verizonwireless-employmentvalidation.com', 'combo', '199.73.26.89')
(u'verizonwireless.com', 'verisonwireless.com.', 'verisonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonvireless.com.', 'verizonvireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizanwireless.com.', 'verizanwireless.com', u'homo', '72.3.202.136')
(u'verizonwireless.com', 'vepizonwireless.com.', 'vepizonwireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwrieless.com.', 'verizonwrieless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelesds.com.', 'verizonwirelesds.com', u'typo', '198.172.88.97')
(u'verizonwireless.com', 'virizonwireless.net.', 'virizonwireless.net', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelessx.com.', 'verizonwirelessx.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verrizonwireless.net.', 'verrizonwireless.net', u'typo', '185.53.178.8')
(u'verizonwireless.com', 'verizonwirelwss.com.', 'verizonwirelwss.com', u'typo', '85.159.233.40')
(u'verizonwireless.com', 'verizonsireless.com.', 'verizonsireless.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'virizonwireless.com.', 'virizonwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireless-hub.com.', 'verizonwireless-hub.com', 'combo', '50.63.202.11')
(u'verizonwireless.com', 'verizonwireless-b2b.com.', 'verizonwireless-b2b.com', 'combo', '184.168.221.44')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '66.171.224.80')
(u'verizonwireless.com', 'verizonwitreless.com.', 'verizonwitreless.com', u'typo', '23.215.104.224')
(u'verizonwireless.com', 'verizonwireless-deals.com.', 'verizonwireless-deals.com', 'combo', '54.205.101.85')
(u'verizonwireless.com', 'verizonwireloess.com.', 'verizonwireloess.com', u'typo', '199.59.243.120')
(u'verizonwireless.com', 'vedrizonwireless.com.', 'vedrizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizongireless.com.', 'verizongireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizpnwireless.com.', 'verizpnwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirreless.com.', 'verizonwirreless.com', u'typo', '162.210.196.167')
(u'verizonwireless.com', 'verizonwireleds.com.', 'verizonwireleds.com', u'typo', '45.56.69.72')
(u'verizonwireless.com', 'verizonwiireless.net.', 'verizonwiireless.net', u'typo', '74.208.236.122')
(u'verizonwireless.com', 'ver1zonw1reless.com.', 'ver1zonw1reless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'vwrizonwireless.com.', 'vwrizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizinwireless.com.', 'verizinwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelgss.com.', 'verizonwirelgss.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizobnwireless.com.', 'verizobnwireless.com', u'typo', '127.0.0.1')
(u'verizonwireless.com', 'verizonwiresless.com.', 'verizonwiresless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwiureless.com.', 'verizonwiureless.com', u'typo', '98.124.199.21')
(u'verizonwireless.com', 'verizionwireless.com.', 'verizionwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirreless.com.', 'verizonwirreless.com', u'typo', '81.171.22.6')
(u'verizonwireless.com', 'verizoniwreless.com.', 'verizoniwreless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwereless.com.', 'verizonwereless.com', u'homo', '199.59.242.150')
(u'verizonwireless.com', 'verizon7ireless.com.', 'verizon7ireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwireles.net.', 'verizonwireles.net', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonswireless.com.', 'verizonswireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'veruzonwireless.com.', 'veruzonwireless.com', u'homo', '185.53.178.8')
(u'verizonwireless.com', 'verizonwirelesq.com.', 'verizonwirelesq.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwireless.biz.', 'verizonwireless.biz', 'wrongTLD', '72.52.10.14')
(u'verizonwireless.com', 'verizonwuireless.com.', 'verizonwuireless.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verizonwirewless.com.', 'verizonwirewless.com', u'typo', '98.124.199.57')
(u'verizonwireless.com', 'verizonwireles.com.', 'verizonwireles.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelless.com.', 'verizonwirelless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelews.com.', 'verizonwirelews.com', u'bits', '72.52.10.14')
(u'verizonwireless.com', 'ver4izonwireless.com.', 'ver4izonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwikreless.com.', 'verizonwikreless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelees.com.', 'verizonwirelees.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwuireless.com.', 'verizonwuireless.com', u'typo', '23.215.104.209')
(u'verizonwireless.com', 'veruizonwireless.com.', 'veruizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwitreless.com.', 'verizonwitreless.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verizonwireoess.com.', 'verizonwireoess.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verioznwireless.com.', 'verioznwireless.com', u'typo', '158.69.143.113')
(u'verizonwireless.com', 'varizonwireless.net.', 'varizonwireless.net', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '64.86.206.123')
(u'verizonwireless.com', 'verixzonwireless.com.', 'verixzonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireless.info.', 'verizonwireless.info', 'wrongTLD', '72.52.10.14')
(u'verizonwireless.com', 'verizonwiredess.com.', 'verizonwiredess.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'varizonwireless.com.', 'varizonwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verionwireless.com.', 'verionwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vberizonwireless.com.', 'vberizonwireless.com', u'typo', '64.86.206.106')
(u'verizonwireless.com', 'verizonwirekess.com.', 'verizonwirekess.com', u'typo', '103.224.182.238')
(u'verizonwireless.com', 'verlzonwlreless.com.', 'verlzonwlreless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwwireless.com.', 'verizonwwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vrizonwireless.com.', 'vrizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelesss.com.', 'verizonwirelesss.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizon-wireless.jobs.', 'verizon-wireless.jobs', u'typo', '50.19.241.165')
(u'verizonwireless.com', 'verizonqwireless.com.', 'verizonqwireless.com', u'typo', '23.215.104.209')
(u'verizonwireless.com', 'verizobwireless.com.', 'verizobwireless.com', u'typo', '103.224.212.222')
(u'verizonwireless.com', 'veroizonwireless.com.', 'veroizonwireless.com', u'typo', '23.215.104.209')
(u'verizonwireless.com', 'verizonwireless-opendevelopment.com.', 'verizonwireless-opendevelopment.com', 'combo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireleas.com.', 'verizonwireleas.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwireless-amphitheatre.com.', 'verizonwireless-amphitheatre.com', 'combo', '72.52.10.14')
(u'verizonwireless.com', 'verizoonwireless.com.', 'verizoonwireless.com', u'typo', '198.50.233.225')
(u'verizonwireless.com', 'vorizonwireless.net.', 'vorizonwireless.net', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwirelesas.com.', 'verizonwirelesas.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonireless.com.', 'verizonireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwiireless.com.', 'verizonwiireless.com', u'typo', '51.254.28.160')
(u'verizonwireless.com', 'verizonwiteless.com.', 'verizonwiteless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verzionwireless.com.', 'verzionwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'vorizonwireless.com.', 'vorizonwireless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwiireless.com.', 'verizonwiireless.com', u'typo', '51.254.28.162')
(u'verizonwireless.com', 'verizonwifeless.com.', 'verizonwifeless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verhzonwireless.com.', 'verhzonwireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'cerizonwireless.com.', 'cerizonwireless.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonvvireless.net.', 'verizonvvireless.net', u'homo', '64.99.64.37')
(u'verizonwireless.com', 'verizonwireless.cc.', 'verizonwireless.cc', 'wrongTLD', '199.59.242.150')
(u'verizonwireless.com', 'verizonwiraless.com.', 'verizonwiraless.com', u'homo', '162.243.242.172')
(u'verizonwireless.com', 'erizonwireless.com.', 'erizonwireless.com', u'typo', '85.159.233.35')
(u'verizonwireless.com', 'erizonwireless.com.', 'erizonwireless.com', u'typo', '198.50.233.231')
(u'verizonwireless.com', 'verizonwireless-deals.com.', 'verizonwireless-deals.com', 'combo', '23.253.58.227')
(u'verizonwireless.com', 'verizonwirelesa.com.', 'verizonwirelesa.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonqireless.com.', 'verizonqireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonworeless.com.', 'verizonworeless.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwire4less.com.', 'verizonwire4less.com', u'typo', '72.52.10.14')
(u'verizonwireless.com', 'verizonwireles3.com.', 'verizonwireles3.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwiireless.com.', 'verizonwiireless.com', u'typo', '158.69.143.113')
(u'verizonwireless.com', 'verizonwireless-deals.com.', 'verizonwireless-deals.com', 'combo', '176.34.241.253')
(u'verizonwireless.com', 'verkzonwireless.com.', 'verkzonwireless.com', u'bits', '162.243.242.172')
(u'verizonwireless.com', 'verizonwireloss.com.', 'verizonwireloss.com', u'homo', '72.52.10.14')
(u'verizonwireless.com', 'vrerizonwireless.com.', 'vrerizonwireless.com', u'typo', '199.59.242.150')
(u'verizonwireless.com', 'verizonwirehess.com.', 'verizonwirehess.com', u'bits', '162.243.242.172')
