(u'freeones.com', 'freeones.tw.', 'freeones.tw', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeonses.com.', 'freeonses.com', u'typo', '72.52.4.120')
(u'freeones.com', 'freeone.com.', 'freeone.com', u'typo', '176.34.241.253')
(u'freeones.com', 'treeones.com.', 'treeones.com', u'typo', '54.72.9.51')
(u'freeones.com', 'freeone.de.', 'freeone.de', u'typo', '81.169.145.92')
(u'freeones.com', 'freeones.com.co.', 'freeones.com.co', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeone.org.', 'freeone.org', u'typo', '207.148.248.143')
(u'freeones.com', 'freeobnes.com.', 'freeobnes.com', u'typo', '184.168.221.44')
(u'freeones.com', 'freeones.com.co.', 'freeones.com.co', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.co.', 'freeones.com.co', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.co.', 'freeones.com.co', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonws.com.', 'freeonws.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeonres.com.', 'freeonres.com', u'typo', '72.52.179.175')
(u'freeones.com', 'fresones.com.', 'fresones.com', u'typo', '193.70.113.22')
(u'freeones.com', 'freeones.co.in.', 'freeones.co.in', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'feeeones.com.', 'feeeones.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.co.in.', 'freeones.co.in', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeomes.com.', 'freeomes.com', u'homo', '72.52.4.120')
(u'freeones.com', 'freeones.co.in.', 'freeones.co.in', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.sk.', 'freeones.sk', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.co.in.', 'freeones.co.in', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeiones.com.', 'freeiones.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.sk.', 'freeones.sk', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.sk.', 'freeones.sk', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.sk.', 'freeones.sk', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.sg.', 'freeones.sg', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.sg.', 'freeones.sg', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeone.link.', 'freeone.link', u'typo', '148.251.185.173')
(u'freeones.com', 'freeopnes.com.', 'freeopnes.com', u'typo', '54.72.9.51')
(u'freeones.com', 'freeones.sg.', 'freeones.sg', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.club.', 'freeones.club', 'wrongTLD', '185.53.178.6')
(u'freeones.com', 'freeones.sg.', 'freeones.sg', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freelnes.com.', 'freelnes.com', u'typo', '185.53.178.6')
(u'freeones.com', 'freeomnes.com.', 'freeomnes.com', u'typo', '141.8.224.93')
(u'freeones.com', 'ffreeones.com.', 'ffreeones.com', u'typo', '72.52.179.175')
(u'freeones.com', 'freeones.lt.', 'freeones.lt', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.lt.', 'freeones.lt', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.name.', 'freeones.name', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.name.', 'freeones.name', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.lt.', 'freeones.lt', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.lt.', 'freeones.lt', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.name.', 'freeones.name', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'dreeones.com.', 'dreeones.com', u'bits', '199.59.242.150')
(u'freeones.com', 'freeones.name.', 'freeones.name', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeoes.com.', 'freeoes.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.ro.', 'freeones.ro', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.la.', 'freeones.la', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.tw.', 'freeones.com.tw', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.ro.', 'freeones.ro', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.la.', 'freeones.la', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.ro.', 'freeones.ro', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.la.', 'freeones.la', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.tw.', 'freeones.com.tw', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.tw.', 'freeones.com.tw', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.ro.', 'freeones.ro', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.la.', 'freeones.la', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.tw.', 'freeones.com.tw', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freoenes.com.', 'freoenes.com', u'typo', '69.16.230.42')
(u'freeones.com', 'freezones.ga.', 'freezones.ga', u'typo', '195.20.54.116')
(u'freeones.com', 'freeone.com.au.', 'freeone.com.au', u'typo', '103.224.182.251')
(u'freeones.com', 'feeones.com.', 'feeones.com', u'typo', '209.15.13.134')
(u'freeones.com', 'freeones.com.cn.', 'freeones.com.cn', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeonews.com.', 'freeonews.com', u'typo', '199.191.50.73')
(u'freeones.com', 'freeones.com.cn.', 'freeones.com.cn', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.cn.', 'freeones.com.cn', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freenoes.com.', 'freenoes.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.xyz.', 'freeones.xyz', 'wrongTLD', '72.52.4.120')
(u'freeones.com', 'freeones.com.cn.', 'freeones.com.cn', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.co.cr.', 'freeones.co.cr', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.co.cr.', 'freeones.co.cr', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.co.cr.', 'freeones.co.cr', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'free-ones.com.', 'free-ones.com', u'typo', '50.63.202.77')
(u'freeones.com', 'freeones.co.cr.', 'freeones.co.cr', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freelones.com.', 'freelones.com', u'typo', '176.74.176.187')
(u'freeones.com', 'freeones.fm.', 'freeones.fm', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.fm.', 'freeones.fm', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeone.sk.', 'freeone.sk', u'typo', '81.95.96.29')
(u'freeones.com', 'freeones.fm.', 'freeones.fm', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.tel.', 'freeones.tel', 'wrongTLD', '52.50.143.27')
(u'freeones.com', 'freeones.fm.', 'freeones.fm', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freezones.ru.', 'freezones.ru', u'typo', '185.53.179.40')
(u'freeones.com', 'free0nes.com.', 'free0nes.com', u'homo', '199.59.242.150')
(u'freeones.com', 'freeones.am.', 'freeones.am', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.am.', 'freeones.am', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.pr.', 'freeones.com.pr', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.pr.', 'freeones.com.pr', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.am.', 'freeones.am', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.su.', 'freeones.su', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.pr.', 'freeones.com.pr', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones-party.com.', 'freeones-party.com', 'combo', '64.131.84.202')
(u'freeones.com', 'freeones.com.br.', 'freeones.com.br', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.su.', 'freeones.su', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.in.', 'freeones.in', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeoned.com.', 'freeoned.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeones.am.', 'freeones.am', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.su.', 'freeones.su', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.in.', 'freeones.in', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.pr.', 'freeones.com.pr', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.br.', 'freeones.com.br', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.br.', 'freeones.com.br', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeone.xxx.', 'freeone.xxx', u'typo', '199.253.28.249')
(u'freeones.com', 'freeones.su.', 'freeones.su', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.in.', 'freeones.in', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.in.', 'freeones.in', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonese.com.', 'freeonese.com', u'typo', '141.8.224.169')
(u'freeones.com', 'freeones.com.br.', 'freeones.com.br', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonec.com.', 'freeonec.com', u'bits', '103.224.212.222')
(u'freeones.com', 'fereeones.com.', 'fereeones.com', u'typo', '209.15.13.134')
(u'freeones.com', 'freeones.com.mx.', 'freeones.com.mx', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones-parties.com.', 'freeones-parties.com', 'combo', '45.32.2.91')
(u'freeones.com', 'freeones.com.mx.', 'freeones.com.mx', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones-parties.com.', 'freeones-parties.com', 'combo', '45.32.2.92')
(u'freeones.com', 'freeones.land.', 'freeones.land', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones-parties.com.', 'freeones-parties.com', 'combo', '45.32.2.93')
(u'freeones.com', 'freeones.com.mx.', 'freeones.com.mx', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.land.', 'freeones.land', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones-parties.com.', 'freeones-parties.com', 'combo', '45.32.2.94')
(u'freeones.com', 'freeones.com.uy.', 'freeones.com.uy', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freezones.net.', 'freezones.net', u'typo', '207.148.248.145')
(u'freeones.com', 'freeones.vg.', 'freeones.vg', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.mx.', 'freeones.com.mx', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freezones.com.', 'freezones.com', u'typo', '5.22.149.135')
(u'freeones.com', 'freeones.land.', 'freeones.land', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.uy.', 'freeones.com.uy', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.vg.', 'freeones.vg', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.land.', 'freeones.land', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.nu.', 'freeones.nu', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.vg.', 'freeones.vg', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.uy.', 'freeones.com.uy', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.org.', 'freeones.org', 'wrongTLD', '69.172.201.153')
(u'freeones.com', 'freeones.nu.', 'freeones.nu', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.uy.', 'freeones.com.uy', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'creeones.com.', 'creeones.com', u'typo', '213.247.47.190')
(u'freeones.com', 'freeones.vg.', 'freeones.vg', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.gd.', 'freeones.gd', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.nu.', 'freeones.nu', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.nu.', 'freeones.nu', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.gd.', 'freeones.gd', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.es.', 'freeones.com.es', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.gd.', 'freeones.gd', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.es.', 'freeones.com.es', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.gd.', 'freeones.gd', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.es.', 'freeones.com.es', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'ffeeones.com.', 'ffeeones.com', u'typo', '141.8.224.93')
(u'freeones.com', 'freeones.com.es.', 'freeones.com.es', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeobes.com.', 'freeobes.com', u'typo', '72.52.4.120')
(u'freeones.com', 'freeons.com.', 'freeons.com', u'typo', '209.15.13.134')
(u'freeones.com', 'freeones.com.tr.', 'freeones.com.tr', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.com.tr.', 'freeones.com.tr', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.py.', 'freeones.com.py', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freepnes.com.', 'freepnes.com', u'typo', '103.224.212.229')
(u'freeones.com', 'freeones.com.tr.', 'freeones.com.tr', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.py.', 'freeones.com.py', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeoner.com.', 'freeoner.com', u'bits', '103.224.212.222')
(u'freeones.com', 'freeones.co.kr.', 'freeones.co.kr', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeone.com.', 'freeone.com', u'typo', '162.242.150.89')
(u'freeones.com', 'freeones.com.ve.', 'freeones.com.ve', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.co.kr.', 'freeones.co.kr', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.com.tr.', 'freeones.com.tr', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.py.', 'freeones.com.py', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeoens.com.', 'freeoens.com', u'typo', '45.32.2.91')
(u'freeones.com', 'freeones.com.ve.', 'freeones.com.ve', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.co.kr.', 'freeones.co.kr', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.com.py.', 'freeones.com.py', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeoens.com.', 'freeoens.com', u'typo', '45.32.2.92')
(u'freeones.com', 'freeones.com.ve.', 'freeones.com.ve', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.co.kr.', 'freeones.co.kr', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.com.ve.', 'freeones.com.ve', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonse.com.', 'freeonse.com', u'typo', '45.32.2.91')
(u'freeones.com', 'freeones.co.il.', 'freeones.co.il', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeoens.com.', 'freeoens.com', u'typo', '45.32.2.93')
(u'freeones.com', 'freeoens.com.', 'freeoens.com', u'typo', '45.32.2.94')
(u'freeones.com', 'freeonse.com.', 'freeonse.com', u'typo', '45.32.2.92')
(u'freeones.com', 'freeones.co.il.', 'freeones.co.il', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeonjes.com.', 'freeonjes.com', u'typo', '50.63.202.27')
(u'freeones.com', 'freeone.ch.', 'freeone.ch', u'typo', '72.52.4.120')
(u'freeones.com', 'freeones.co.il.', 'freeones.co.il', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeonse.com.', 'freeonse.com', u'typo', '45.32.2.93')
(u'freeones.com', 'creeones.com.', 'creeones.com', u'typo', '173.239.5.6')
(u'freeones.com', 'freeones.co.il.', 'freeones.co.il', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeonse.com.', 'freeonse.com', u'typo', '45.32.2.94')
(u'freeones.com', 'freezones.cf.', 'freezones.cf', u'typo', '216.239.38.21')
(u'freeones.com', 'frreones.com.', 'frreones.com', u'typo', '69.172.201.153')
(u'freeones.com', 'freeone.com.', 'freeone.com', u'typo', '54.205.101.85')
(u'freeones.com', 'freeones.vn.', 'freeones.vn', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.vn.', 'freeones.vn', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.vn.', 'freeones.vn', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.vn.', 'freeones.vn', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freenes.com.', 'freenes.com', u'typo', '103.224.182.218')
(u'freeones.com', 'freeones.lv.', 'freeones.lv', 'wrongTLD', '45.32.2.91')
(u'freeones.com', 'freeones.lv.', 'freeones.lv', 'wrongTLD', '45.32.2.92')
(u'freeones.com', 'freeones.lv.', 'freeones.lv', 'wrongTLD', '45.32.2.93')
(u'freeones.com', 'freeones.lv.', 'freeones.lv', 'wrongTLD', '45.32.2.94')
(u'freeones.com', 'freeones.tw.', 'freeones.tw', 'wrongTLD', '45.32.2.91')
