(u'clevelandclinic.org', 'clevelsndclinic.org.', 'clevelsndclinic.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevellandclinic.org.', 'clevellandclinic.org', u'typo', '185.53.178.7')
(u'clevelandclinic.org', 'cleelandclinic.org.', 'cleelandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevleandclinic.org.', 'clevleandclinic.org', u'typo', '185.53.178.8')
(u'clevelandclinic.org', 'clevelandclibic.org.', 'clevelandclibic.org', u'typo', '185.53.178.7')
(u'clevelandclinic.org', 'clevelandlinic.org.', 'clevelandlinic.org', u'typo', '50.117.113.222')
(u'clevelandclinic.org', 'clevelandclunic.org.', 'clevelandclunic.org', u'homo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandclinc.org.', 'clevelandclinc.org', u'typo', '103.224.182.221')
(u'clevelandclinic.org', 'e-clevelandclinic.org.', 'e-clevelandclinic.org', 'combo', '192.35.79.223')
(u'clevelandclinic.org', 'clevelandclini.org.', 'clevelandclini.org', u'typo', '185.53.178.9')
(u'clevelandclinic.org', 'e-clevelandclinic.com.', 'e-clevelandclinic.com', 'combo', '192.35.79.223')
(u'clevelandclinic.org', 'clevelandclinic.london.', 'clevelandclinic.london', 'wrongTLD', '51.140.37.241')
(u'clevelandclinic.org', 'clevelaandclinic.org.', 'clevelaandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandclinci.org.', 'clevelandclinci.org', u'typo', '185.53.178.7')
(u'clevelandclinic.org', 'cleveelandclinic.org.', 'cleveelandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandclinoc.org.', 'clevelandclinoc.org', u'homo', '185.53.178.6')
(u'clevelandclinic.org', 'levelandclinic.org.', 'levelandclinic.org', u'typo', '209.99.64.43')
(u'clevelandclinic.org', 'cleveandclinic.org.', 'cleveandclinic.org', u'typo', '172.107.11.10')
(u'clevelandclinic.org', 'clevvelandclinic.org.', 'clevvelandclinic.org', u'typo', '185.53.179.6')
(u'clevelandclinic.org', 'clevelandclinics.net.', 'clevelandclinics.net', u'typo', '50.63.202.64')
(u'clevelandclinic.org', 'clevelamdclinic.org.', 'clevelamdclinic.org', u'homo', '185.53.178.6')
(u'clevelandclinic.org', 'cclcm-clevelandclinic.org.', 'cclcm-clevelandclinic.org', 'combo', '69.73.183.24')
(u'clevelandclinic.org', 'clevelandxlinic.org.', 'clevelandxlinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandcliniic.org.', 'clevelandcliniic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandclinjic.org.', 'clevelandclinjic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelandcllinic.org.', 'clevelandcllinic.org', u'typo', '199.191.50.73')
(u'clevelandclinic.org', 'clevelandclimic.org.', 'clevelandclimic.org', u'homo', '103.232.215.143')
(u'clevelandclinic.org', 'clecelandclinic.org.', 'clecelandclinic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevelndclinic.org.', 'clevelndclinic.org', u'typo', '172.107.8.65')
(u'clevelandclinic.org', 'clebelandclinic.org.', 'clebelandclinic.org', u'typo', '185.53.178.8')
(u'clevelandclinic.org', 'cleveladclinic.org.', 'cleveladclinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelandcclinic.org.', 'clevelandcclinic.org', u'typo', '185.53.179.6')
(u'clevelandclinic.org', 'clevelandclinic.dev.', 'clevelandclinic.dev', 'wrongTLD', '127.0.53.53')
(u'clevelandclinic.org', 'clevlandclinic.org.', 'clevlandclinic.org', u'typo', '69.172.201.153')
(u'clevelandclinic.org', 'clevelandclenic.org.', 'clevelandclenic.org', u'homo', '50.117.113.222')
(u'clevelandclinic.org', 'clevelandclinix.org.', 'clevelandclinix.org', u'typo', '185.53.179.6')
(u'clevelandclinic.org', 'clevelandckinic.org.', 'clevelandckinic.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevalandclinic.org.', 'clevalandclinic.org', u'homo', '103.232.215.143')
(u'clevelandclinic.org', 'clevelansclinic.org.', 'clevelansclinic.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevelandclinicc.org.', 'clevelandclinicc.org', u'typo', '54.72.9.51')
(u'clevelandclinic.org', 'clevelanfclinic.org.', 'clevelanfclinic.org', u'bits', '185.53.178.8')
(u'clevelandclinic.org', 'clevlandclinic.com.', 'clevlandclinic.com', u'typo', '51.254.28.160')
(u'clevelandclinic.org', 'clevelandclinic.com.', 'clevelandclinic.com', 'wrongTLD', '192.35.79.223')
(u'clevelandclinic.org', 'clevelandclinic.jobs.', 'clevelandclinic.jobs', 'wrongTLD', '52.8.43.22')
(u'clevelandclinic.org', 'clevlandclinic.com.', 'clevlandclinic.com', u'typo', '51.254.28.162')
(u'clevelandclinic.org', 'clvelandclinic.org.', 'clvelandclinic.org', u'typo', '69.64.146.192')
(u'clevelandclinic.org', 'clivelandclinic.org.', 'clivelandclinic.org', u'homo', '185.53.178.6')
(u'clevelandclinic.org', 'mail-myrefills-clevelandclinic.net.', 'mail-myrefills-clevelandclinic.net', 'combo', '50.63.202.62')
(u'clevelandclinic.org', 'clevelandcliic.org.', 'clevelandcliic.org', u'typo', '172.107.8.131')
(u'clevelandclinic.org', 'clevelandcliniic.org.', 'clevelandcliniic.org', u'typo', '185.53.179.7')
(u'clevelandclinic.org', 'clevlandclinic.com.', 'clevlandclinic.com', u'typo', '158.69.143.112')
(u'clevelandclinic.org', 'clevelabdclinic.org.', 'clevelabdclinic.org', u'typo', '185.53.178.6')
(u'clevelandclinic.org', 'clevlandclinic.com.', 'clevlandclinic.com', u'typo', '158.69.143.113')
(u'clevelandclinic.org', 'cleevelandclinic.org.', 'cleevelandclinic.org', u'typo', '185.53.178.7')
