(u'localbitcoins.com', 'localbitcxoins.com.', 'localbitcxoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcooins.com.', 'localbitcooins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'loclabitcoins.com.', 'loclabitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'loxalbitcoins.com.', 'loxalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'llocalbitcoins.com.', 'llocalbitcoins.com', u'typo', '209.99.64.25')
(u'localbitcoins.com', 'localbitcoins.website.', 'localbitcoins.website', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoinms.com.', 'localbitcoinms.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcopins.com.', 'localbitcopins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.com.br.', 'localbitcoins.com.br', 'wrongTLD', '192.155.81.104')
(u'localbitcoins.com', 'localbitcoin.us.', 'localbitcoin.us', u'typo', '136.243.255.71')
(u'localbitcoins.com', 'localbitcpins.com.', 'localbitcpins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbnitcoins.com.', 'localbnitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitycoins.com.', 'localbitycoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'local-bitcoins.net.', 'local-bitcoins.net', u'typo', '81.169.145.84')
(u'localbitcoins.com', 'localbitcoijns.com.', 'localbitcoijns.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'lokalbitcoins.us.', 'lokalbitcoins.us', u'bits', '136.243.255.71')
(u'localbitcoins.com', 'localbetcoins.com.', 'localbetcoins.com', u'homo', '95.215.45.139')
(u'localbitcoins.com', 'localbitcois.com.', 'localbitcois.com', u'typo', '52.0.7.30')
(u'localbitcoins.com', 'localbitcoins.com.cn.', 'localbitcoins.com.cn', 'wrongTLD', '150.242.126.34')
(u'localbitcoins.com', 'localbktcoins.com.', 'localbktcoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'lucalbitcoins.com.', 'lucalbitcoins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'https-localbitcoins.com.', 'https-localbitcoins.com', 'combo', '74.119.239.234')
(u'localbitcoins.com', 'localbitcoin.bid.', 'localbitcoin.bid', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbiotcoins.com.', 'localbiotcoins.com', u'typo', '98.124.199.28')
(u'localbitcoins.com', 'localbitcoinsw.com.', 'localbitcoinsw.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbytcoins.com.', 'localbytcoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbictoins.com.', 'localbictoins.com', u'typo', '98.124.199.22')
(u'localbitcoins.com', 'localbitocins.com.', 'localbitocins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbidcoins.com.', 'localbidcoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoinse.com.', 'localbitcoinse.com', u'typo', '69.64.147.10')
(u'localbitcoins.com', 'www-localbitcoins.com.', 'www-localbitcoins.com', 'combo', '52.0.7.30')
(u'localbitcoins.com', 'loczlbitcoins.com.', 'loczlbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.click.', 'localbitcoins.click', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localnitcoins.us.', 'localnitcoins.us', u'typo', '136.243.255.71')
(u'localbitcoins.com', 'ocalbitcoins.com.', 'ocalbitcoins.com', u'typo', '173.239.8.164')
(u'localbitcoins.com', 'lcalbitcoins.com.', 'lcalbitcoins.com', u'typo', '192.64.147.196')
(u'localbitcoins.com', 'localbitfoins.com.', 'localbitfoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.cricket.', 'localbitcoins.cricket', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'locaslbitcoins.com.', 'locaslbitcoins.com', u'typo', '141.8.224.93')
(u'localbitcoins.com', 'localbitcoins.mobi.', 'localbitcoins.mobi', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'locslbitcoins.com.', 'locslbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'locaklbitcoins.com.', 'locaklbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcins.com.', 'localbitcins.com', u'typo', '184.168.221.34')
(u'localbitcoins.com', 'locapbitcoins.com.', 'locapbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbi5coins.com.', 'localbi5coins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitc9ins.com.', 'localbitc9ins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoinns.com.', 'localbitcoinns.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.accountant.', 'localbitcoins.accountant', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localboitcoins.com.', 'localboitcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitsoins.com.', 'localbitsoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'losalbitcoins.com.', 'losalbitcoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'lovalbitcoins.com.', 'lovalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoihs.com.', 'localbitcoihs.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcuins.com.', 'localbitcuins.com', u'homo', '136.243.255.73')
(u'localbitcoins.com', 'localbtcoins.com.', 'localbtcoins.com', u'typo', '107.161.23.204')
(u'localbitcoins.com', 'localb9tcoins.com.', 'localb9tcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbiutcoins.com.', 'localbiutcoins.com', u'typo', '136.243.255.74')
(u'localbitcoins.com', 'localbitcoins.pw.', 'localbitcoins.pw', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoins.net.', 'localbitcoins.net', 'wrongTLD', '104.20.53.221')
(u'localbitcoins.com', 'localbitcoinx.com.', 'localbitcoinx.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.men.', 'localbitcoins.men', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbtcoins.com.', 'localbtcoins.com', u'typo', '167.114.213.199')
(u'localbitcoins.com', 'localbitcoins.party.', 'localbitcoins.party', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'locxalbitcoins.com.', 'locxalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins-com.com.', 'localbitcoins-com.com', 'combo', '207.244.77.157')
(u'localbitcoins.com', 'l0calbitcoins.com.', 'l0calbitcoins.com', u'homo', '64.187.224.43')
(u'localbitcoins.com', 'localbitcoinsd.com.', 'localbitcoinsd.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitkoins.org.', 'localbitkoins.org', u'bits', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoin.loan.', 'localbitcoin.loan', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitco9ns.com.', 'localbitco9ns.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoinw.com.', 'localbitcoinw.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localkbitcoins.com.', 'localkbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.online.', 'localbitcoins.online', 'wrongTLD', '185.25.50.124')
(u'localbitcoins.com', 'loalbitcoins.com.', 'loalbitcoins.com', u'typo', '185.53.178.22')
(u'localbitcoins.com', 'localbitcoiins.com.', 'localbitcoiins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'locqlbitcoins.com.', 'locqlbitcoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'lokalbitcoins.org.', 'lokalbitcoins.org', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.com.mx.', 'localbitcoins.com.mx', 'wrongTLD', '149.56.189.105')
(u'localbitcoins.com', 'localbitciins.com.', 'localbitciins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localibtcoins.com.', 'localibtcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoions.com.', 'localbitcoions.com', u'typo', '98.124.199.77')
(u'localbitcoins.com', 'localbitcouns.com.', 'localbitcouns.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'lokalbitcoins.net.', 'lokalbitcoins.net', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitkoins.net.', 'localbitkoins.net', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.faith.', 'localbitcoins.faith', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'locolbitcoins.com.', 'locolbitcoins.com', u'homo', '45.33.9.234')
(u'localbitcoins.com', 'localbitcoins.cn.', 'localbitcoins.cn', 'wrongTLD', '150.242.126.34')
(u'localbitcoins.com', 'localbitcoins.tech.', 'localbitcoins.tech', 'wrongTLD', '165.227.128.63')
(u'localbitcoins.com', 'locsalbitcoins.com.', 'locsalbitcoins.com', u'typo', '98.124.199.3')
(u'localbitcoins.com', 'localbitkoins.com.', 'localbitkoins.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localobitcoins.com.', 'localobitcoins.com', u'typo', '98.124.199.11')
(u'localbitcoins.com', 'localbitcoibs.com.', 'localbitcoibs.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localnitcoins.com.', 'localnitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbiytcoins.com.', 'localbiytcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitxoins.com.', 'localbitxoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoimns.com.', 'localbitcoimns.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbiycoins.com.', 'localbiycoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'locaobitcoins.com.', 'locaobitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'locabitcoins.com.', 'locabitcoins.com', u'typo', '149.56.189.105')
(u'localbitcoins.com', 'localbitc0ins.com.', 'localbitc0ins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localbi6coins.com.', 'localbi6coins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbbitcoins.com.', 'localbbitcoins.com', u'typo', '209.99.64.25')
(u'localbitcoins.com', 'loaclbitcoins.us.', 'loaclbitcoins.us', u'typo', '136.243.255.71')
(u'localbitcoins.com', 'localbetcoins.com.', 'localbetcoins.com', u'homo', '213.5.182.105')
(u'localbitcoins.com', 'localbitcoyns.com.', 'localbitcoyns.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localvbitcoins.com.', 'localvbitcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcains.com.', 'localbitcains.com', u'homo', '69.64.147.10')
(u'localbitcoins.com', 'pocalbitcoins.com.', 'pocalbitcoins.com', u'typo', '184.168.221.15')
(u'localbitcoins.com', 'localbitcoin.org.', 'localbitcoin.org', u'typo', '192.64.119.24')
(u'localbitcoins.com', 'locaibitcoins.com.', 'locaibitcoins.com', u'homo', '104.232.36.230')
(u'localbitcoins.com', 'localbitcoins.gdn.', 'localbitcoins.gdn', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.xyz.', 'localbitcoins.xyz', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localitcoins.com.', 'localitcoins.com', u'typo', '185.53.179.23')
(u'localbitcoins.com', 'iocaibitcoins.com.', 'iocaibitcoins.com', u'homo', '69.64.147.10')
(u'localbitcoins.com', 'loaclbitcoins.org.', 'loaclbitcoins.org', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoin.win.', 'localbitcoin.win', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoins.asia.', 'localbitcoins.asia', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'local-bitcoins.com.', 'local-bitcoins.com', u'typo', '184.168.221.9')
(u'localbitcoins.com', 'locolbitcoins.com.', 'locolbitcoins.com', u'homo', '45.56.69.72')
(u'localbitcoins.com', 'localbutcoins.us.', 'localbutcoins.us', u'homo', '136.243.255.71')
(u'localbitcoins.com', 'loaclbitcoins.com.', 'loaclbitcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'lofalbitcoins.com.', 'lofalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'lacalbitcoins.com.', 'lacalbitcoins.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.co.uk.', 'localbitcoins.co.uk', 'wrongTLD', '213.186.33.5')
(u'localbitcoins.com', 'localbitcoisn.com.', 'localbitcoisn.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.151')
(u'localbitcoins.com', 'ocalbitcoins.com.', 'ocalbitcoins.com', u'typo', '173.239.5.6')
(u'localbitcoins.com', 'localbitco8ns.com.', 'localbitco8ns.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcions.com.', 'localbitcions.com', u'typo', '5.79.68.107')
(u'localbitcoins.com', 'olcalbitcoins.com.', 'olcalbitcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'locaolbitcoins.com.', 'locaolbitcoins.com', u'typo', '98.124.199.96')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.154')
(u'localbitcoins.com', 'localbitcions.com.', 'localbitcions.com', u'typo', '5.79.68.108')
(u'localbitcoins.com', 'localbitcions.com.', 'localbitcions.com', u'typo', '5.79.68.109')
(u'localbitcoins.com', 'localbitcpoins.com.', 'localbitcpoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.157')
(u'localbitcoins.com', 'localbitcoinsx.com.', 'localbitcoinsx.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitdoins.com.', 'localbitdoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoin.se.', 'localbitcoin.se', u'typo', '213.186.33.5')
(u'localbitcoins.com', 'localbitcoin.ru.', 'localbitcoin.ru', u'typo', '31.31.196.108')
(u'localbitcoins.com', 'localbitcokns.com.', 'localbitcokns.com', u'bits', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.red.', 'localbitcoins.red', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localbitgcoins.com.', 'localbitgcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbitcoins.space.', 'localbitcoins.space', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoin.xyz.', 'localbitcoin.xyz', u'typo', '52.58.78.16')
(u'localbitcoins.com', 'localbitcoina.com.', 'localbitcoina.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoiuns.com.', 'localbitcoiuns.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.design.', 'localbitcoins.design', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'locablitcoins.com.', 'locablitcoins.com', u'typo', '98.124.199.111')
(u'localbitcoins.com', 'localvitcoins.com.', 'localvitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.at.', 'localbitcoins.at', 'wrongTLD', '88.99.101.251')
(u'localbitcoins.com', 'localbitcoinc.com.', 'localbitcoinc.com', u'bits', '103.224.212.222')
(u'localbitcoins.com', 'lovcalbitcoins.com.', 'lovcalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitoins.com.', 'localbitoins.com', u'typo', '192.155.81.104')
(u'localbitcoins.com', 'localbitcoins.store.', 'localbitcoins.store', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localbirtcoins.com.', 'localbirtcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitrcoins.com.', 'localbitrcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localnbitcoins.com.', 'localnbitcoins.com', u'typo', '136.243.255.71')
(u'localbitcoins.com', 'localbuitcoins.com.', 'localbuitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoins.loan.', 'localbitcoins.loan', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'localbitcoins.com.au.', 'localbitcoins.com.au', 'wrongTLD', '203.170.80.250')
(u'localbitcoins.com', 'localbitcoins.link.', 'localbitcoins.link', 'wrongTLD', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoin.pl.', 'localbitcoin.pl', u'typo', '87.98.239.5')
(u'localbitcoins.com', 'locallbitcoins.net.', 'locallbitcoins.net', u'homo', '178.208.83.27')
(u'localbitcoins.com', 'l0calbitc0ins.com.', 'l0calbitc0ins.com', u'homo', '184.168.221.22')
(u'localbitcoins.com', 'localbitcoinz.com.', 'localbitcoinz.com', u'typo', '213.171.195.105')
(u'localbitcoins.com', 'localb8tcoins.com.', 'localb8tcoins.com', u'typo', '136.243.255.73')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.160')
(u'localbitcoins.com', 'localbitcoons.com.', 'localbitcoons.com', u'homo', '136.243.255.77')
(u'localbitcoins.com', 'iocalbitcoins.com.', 'iocalbitcoins.com', u'homo', '74.119.239.234')
(u'localbitcoins.com', 'locallbitcoins.com.', 'locallbitcoins.com', u'homo', '178.208.83.27')
(u'localbitcoins.com', 'lodalbitcoins.com.', 'lodalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.163')
(u'localbitcoins.com', 'lpcalbitcoins.com.', 'lpcalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbittcoins.com.', 'localbittcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitconis.com.', 'localbitconis.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'locelbitcoins.com.', 'locelbitcoins.com', u'homo', '136.243.255.71')
(u'localbitcoins.com', 'localbltcolns.com.', 'localbltcolns.com', u'homo', '62.149.128.166')
(u'localbitcoins.com', 'localbigtcoins.com.', 'localbigtcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'lokalbitcoins.com.', 'lokalbitcoins.com', u'bits', '50.116.61.95')
(u'localbitcoins.com', 'localbitcoins.webcam.', 'localbitcoins.webcam', 'wrongTLD', '136.243.255.71')
(u'localbitcoins.com', 'kocalbitcoins.com.', 'kocalbitcoins.com', u'typo', '209.99.64.25')
(u'localbitcoins.com', 'localbitcoinsr.com.', 'localbitcoinsr.com', u'typo', '143.95.228.70')
(u'localbitcoins.com', 'localbitcoins.ru.', 'localbitcoins.ru', 'wrongTLD', '31.31.196.108')
(u'localbitcoins.com', 'localbitcoins.de.', 'localbitcoins.de', 'wrongTLD', '78.47.107.161')
(u'localbitcoins.com', 'locakbitcoins.com.', 'locakbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoin.it.', 'localbitcoin.it', u'typo', '213.186.33.5')
(u'localbitcoins.com', 'loccalbitcoins.com.', 'loccalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitvcoins.com.', 'localbitvcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcoine.com.', 'localbitcoine.com', u'typo', '69.64.147.10')
(u'localbitcoins.com', 'localbitcoin.net.', 'localbitcoin.net', u'typo', '45.33.37.158')
(u'localbitcoins.com', 'localbitcoinbs.com.', 'localbitcoinbs.com', u'typo', '98.124.199.32')
(u'localbitcoins.com', 'localbitcoins.company.', 'localbitcoins.company', 'wrongTLD', '217.198.113.104')
(u'localbitcoins.com', 'localbitcoin.com.', 'localbitcoin.com', u'typo', '45.33.37.158')
(u'localbitcoins.com', 'lkocalbitcoins.com.', 'lkocalbitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'loclbitcoins.com.', 'loclbitcoins.com', u'typo', '103.224.212.222')
(u'localbitcoins.com', 'localbitvoins.com.', 'localbitvoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localgitcoins.com.', 'localgitcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitcvoins.com.', 'localbitcvoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbitxcoins.com.', 'localbitxcoins.com', u'typo', '136.243.255.77')
(u'localbitcoins.com', 'localbtcoins.com.', 'localbtcoins.com', u'typo', '164.132.212.72')
(u'localbitcoins.com', 'localbitcoins.ch.', 'localbitcoins.ch', 'wrongTLD', '192.64.119.62')
(u'localbitcoins.com', 'oocalbitcoins.com.', 'oocalbitcoins.com', u'typo', '209.99.64.25')
(u'localbitcoins.com', 'localbitcoins.be.', 'localbitcoins.be', 'wrongTLD', '185.182.56.12')
(u'localbitcoins.com', 'localbitcoin.co.uk.', 'localbitcoin.co.uk', u'typo', '103.224.182.251')
(u'localbitcoins.com', 'localbitcoins.net.', 'localbitcoins.net', 'wrongTLD', '104.20.54.221')
(u'localbitcoins.com', 'localbitfcoins.com.', 'localbitfcoins.com', u'typo', '136.243.255.77')
