(u'priceline.com', 'prjiceline.com.', 'prjiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'price-line.net.', 'price-line.net', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelinem.com.', 'pricelinem.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priceline-trading.com.', 'priceline-trading.com', 'combo', '50.63.202.88')
(u'priceline.com', 'pruiceline.com.', 'pruiceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline.website.', 'priceline.website', 'wrongTLD', '72.52.4.119')
(u'priceline.com', 'pricelinne.com.', 'pricelinne.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline-car.com.', 'priceline-car.com', 'combo', '64.6.21.2')
(u'priceline.com', 'hotel-priceline.com.', 'hotel-priceline.com', 'combo', '64.6.21.2')
(u'priceline.com', 'pricel8ne.com.', 'pricel8ne.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priceliine.com.', 'priceliine.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pribeline.com.', 'pribeline.com', u'bits', '52.86.163.26')
(u'priceline.com', 'prifceline.com.', 'prifceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline-credit.net.', 'priceline-credit.net', 'combo', '64.6.21.2')
(u'priceline.com', 'priceline-visa.net.', 'priceline-visa.net', 'combo', '64.6.21.2')
(u'priceline.com', 'priceling.com.', 'priceling.com', u'bits', '52.52.18.176')
(u'priceline.com', 'priceline-rx.com.', 'priceline-rx.com', 'combo', '50.63.202.32')
(u'priceline.com', 'priseline.com.', 'priseline.com', u'bits', '64.6.21.2')
(u'priceline.com', 'www-priceline.com.', 'www-priceline.com', 'combo', '52.86.163.26')
(u'priceline.com', 'pricelyne.com.', 'pricelyne.com', u'bits', '64.6.21.2')
(u'priceline.com', 'pricreline.com.', 'pricreline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pri8celine.com.', 'pri8celine.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priceluine.com.', 'priceluine.com', u'typo', '64.6.21.2')
(u'priceline.com', 'ppiceline.com.', 'ppiceline.com', u'bits', '52.52.64.247')
(u'priceline.com', 'priceline.jobs.', 'priceline.jobs', 'wrongTLD', '64.6.28.2')
(u'priceline.com', 'priceline-credit.com.', 'priceline-credit.com', 'combo', '64.6.21.2')
(u'priceline.com', 'pricdeline.com.', 'pricdeline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priceline-visa.com.', 'priceline-visa.com', 'combo', '64.6.21.2')
(u'priceline.com', 'p4riceline.com.', 'p4riceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'p4iceline.com.', 'p4iceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricfeline.com.', 'pricfeline.com', u'typo', '72.52.4.119')
(u'priceline.com', 'price3line.com.', 'price3line.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelie.trade.', 'pricelie.trade', u'typo', '104.31.69.162')
(u'priceline.com', 'priceine.co.', 'priceine.co', u'typo', '185.53.179.7')
(u'priceline.com', 'praceline.com.', 'praceline.com', u'homo', '52.52.64.247')
(u'priceline.com', 'pr9celine.com.', 'pr9celine.com', u'typo', '52.52.64.247')
(u'priceline.com', 'prcieline.com.', 'prcieline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelene.com.', 'pricelene.com', u'homo', '52.52.18.176')
(u'priceline.com', 'proiceline.com.', 'proiceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceljne.com.', 'priceljne.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricel9ine.com.', 'pricel9ine.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pric3eline.com.', 'pric3eline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelinhe.com.', 'pricelinhe.com', u'typo', '23.22.216.234')
(u'priceline.com', 'prkceline.com.', 'prkceline.com', u'bits', '23.22.216.234')
(u'priceline.com', 'priceline.net.au.', 'priceline.net.au', 'wrongTLD', '165.160.13.20')
(u'priceline.com', 'pirceline.com.', 'pirceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricedline.com.', 'pricedline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelkine.com.', 'pricelkine.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pridceline.com.', 'pridceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'p5iceline.com.', 'p5iceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pribeline.com.', 'pribeline.com', u'bits', '52.52.64.247')
(u'priceline.com', 'priceline.com.hk.', 'priceline.com.hk', 'wrongTLD', '202.4.26.140')
(u'priceline.com', '0riceline.com.', '0riceline.com', u'bits', '23.22.216.234')
(u'priceline.com', 'priceline.no.', 'priceline.no', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'pricelinef.com.', 'pricelinef.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pr8iceline.com.', 'pr8iceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'ptriceline.com.', 'ptriceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pric3line.com.', 'pric3line.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricelijne.com.', 'pricelijne.com', u'typo', '52.86.163.26')
(u'priceline.com', 'prkiceline.com.', 'prkiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricekine.com.', 'pricekine.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelie.online.', 'pricelie.online', u'typo', '104.31.95.160')
(u'priceline.com', 'pricelije.com.', 'pricelije.com', u'bits', '52.52.18.176')
(u'priceline.com', 'priceline.voyage.', 'priceline.voyage', 'wrongTLD', '72.52.4.119')
(u'priceline.com', 'pricelin4.com.', 'pricelin4.com', u'typo', '52.52.18.176')
(u'priceline.com', 'interchange-priceline.com.', 'interchange-priceline.com', 'combo', '52.52.18.176')
(u'priceline.com', 'pricdline.com.', 'pricdline.com', u'bits', '52.52.18.176')
(u'priceline.com', 'price4line.com.', 'price4line.com', u'typo', '52.86.163.26')
(u'priceline.com', 'privceline.com.', 'privceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'p5riceline.com.', 'p5riceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline-mortgage.com.', 'priceline-mortgage.com', 'combo', '64.6.18.6')
(u'priceline.com', 'pricenine.com.', 'pricenine.com', u'bits', '208.73.211.165')
(u'priceline.com', 'pricedine.com.', 'pricedine.com', u'bits', '184.168.221.44')
(u'priceline.com', 'pricelini.com.', 'pricelini.com', u'homo', '52.52.64.247')
(u'priceline.com', 'priceline-hutchison.com.', 'priceline-hutchison.com', 'combo', '64.6.21.2')
(u'priceline.com', 'prlceline.com.', 'prlceline.com', u'homo', '23.22.216.234')
(u'priceline.com', 'pdriceline.com.', 'pdriceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'priceline.com.ar.', 'priceline.com.ar', 'wrongTLD', '72.52.4.119')
(u'priceline.com', 'prifeline.com.', 'prifeline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline-electronics.net.', 'priceline-electronics.net', 'combo', '64.6.21.2')
(u'priceline.com', 'pricline.ca.', 'pricline.ca', u'typo', '208.73.211.177')
(u'priceline.com', 'pricveline.com.', 'pricveline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelijne.com.', 'pricelijne.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricel9ne.com.', 'pricel9ne.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricepine.com.', 'pricepine.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pruiceline.com.', 'pruiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pric4line.com.', 'pric4line.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline-electronics.com.', 'priceline-electronics.com', 'combo', '64.6.21.2')
(u'priceline.com', 'priceline.biz.', 'priceline.biz', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'lriceline.com.', 'lriceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelinee.com.', 'pricelinee.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priiceline.com.', 'priiceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'peiceline.com.', 'peiceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'mattressexchange-priceline.com.', 'mattressexchange-priceline.com', 'combo', '52.86.163.26')
(u'priceline.com', 'price-line.com.', 'price-line.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline-cancun.com.', 'priceline-cancun.com', 'combo', '64.6.28.42')
(u'priceline.com', 'price4line.com.', 'price4line.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priceiine.com.', 'priceiine.com', u'homo', '64.6.28.2')
(u'priceline.com', 'priceli9ne.com.', 'priceli9ne.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricel8ine.com.', 'pricel8ine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pr4iceline.com.', 'pr4iceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'prijceline.com.', 'prijceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceljine.com.', 'priceljine.com', u'typo', '64.6.21.2')
(u'priceline.com', 'prifeline.com.', 'prifeline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pri8celine.com.', 'pri8celine.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelind.com.', 'pricelind.com', u'bits', '64.6.21.2')
(u'priceline.com', 'pricellne.com.', 'pricellne.com', u'homo', '52.52.64.247')
(u'priceline.com', 'pr8celine.com.', 'pr8celine.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricxeline.com.', 'pricxeline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelene.com.', 'pricelene.com', u'homo', '52.86.163.26')
(u'priceline.com', 'name-your-own-price-priceline.com.', 'name-your-own-price-priceline.com', 'combo', '64.6.28.2')
(u'priceline.com', 'pric4eline.com.', 'pric4eline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pdiceline.com.', 'pdiceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelinbe.com.', 'pricelinbe.com', u'typo', '72.52.4.119')
(u'priceline.com', 'ppiceline.com.', 'ppiceline.com', u'bits', '23.22.216.234')
(u'priceline.com', 'prriceline.com.', 'prriceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline.com.bd.', 'priceline.com.bd', 'wrongTLD', '198.57.247.132')
(u'priceline.com', 'pricel9ine.com.', 'pricel9ine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pfriceline.com.', 'pfriceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'priceline.travel.', 'priceline.travel', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'priceline.android.', 'priceline.android', 'wrongTLD', '127.0.53.53')
(u'priceline.com', 'praceline.com.', 'praceline.com', u'homo', '23.22.216.234')
(u'priceline.com', 'pricline.co.uk.', 'pricline.co.uk', u'typo', '64.106.229.221')
(u'priceline.com', 'lriceline.com.', 'lriceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricoline.com.', 'pricoline.com', u'homo', '52.86.163.26')
(u'priceline.com', 'pricelino.com.', 'pricelino.com', u'homo', '52.86.163.26')
(u'priceline.com', 'mattressexchange-priceline.com.', 'mattressexchange-priceline.com', 'combo', '52.52.64.247')
(u'priceline.com', 'pricekline.com.', 'pricekline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline.co.il.', 'priceline.co.il', 'wrongTLD', '72.52.4.122')
(u'priceline.com', 'pricdeline.com.', 'pricdeline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricelikne.com.', 'pricelikne.com', u'typo', '52.52.18.176')
(u'priceline.com', 'periceline.com.', 'periceline.com', u'typo', '72.52.4.122')
(u'priceline.com', 'hutchison-priceline.com.', 'hutchison-priceline.com', 'combo', '52.52.64.247')
(u'priceline.com', 'pricel8ine.com.', 'pricel8ine.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pr8iceline.com.', 'pr8iceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'riceline.co.jp.', 'riceline.co.jp', u'typo', '157.7.188.234')
(u'priceline.com', 'pricline.ca.', 'pricline.ca', u'typo', '208.73.210.202')
(u'priceline.com', 'oriceline.com.', 'oriceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelinea.com.', 'pricelinea.com', u'typo', '209.15.13.134')
(u'priceline.com', 'deals-priceline.com.', 'deals-priceline.com', 'combo', '64.6.28.2')
(u'priceline.com', 'pricelines.us.', 'pricelines.us', u'typo', '185.53.179.8')
(u'priceline.com', 'prkceline.com.', 'prkceline.com', u'bits', '52.52.18.176')
(u'priceline.com', 'pricelin4.com.', 'pricelin4.com', u'typo', '52.86.163.26')
(u'priceline.com', 'p5iceline.com.', 'p5iceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pr9iceline.com.', 'pr9iceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricelane.com.', 'pricelane.com', u'homo', '103.224.182.210')
(u'priceline.com', 'preiceline.com.', 'preiceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelkine.com.', 'pricelkine.com', u'typo', '52.52.18.176')
(u'priceline.com', 'interchange-priceline.com.', 'interchange-priceline.com', 'combo', '52.86.163.26')
(u'priceline.com', 'prriceline.com.', 'prriceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelimne.com.', 'pricelimne.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelino.com.', 'pricelino.com', u'homo', '52.52.64.247')
(u'priceline.com', 'pricelinef.com.', 'pricelinef.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricelinez.com.', 'pricelinez.com', u'typo', '52.52.64.247')
(u'priceline.com', 'prlcellne.com.', 'prlcellne.com', u'homo', '50.63.202.35')
(u'priceline.com', 'priceline.us.', 'priceline.us', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'pricelini.com.', 'pricelini.com', u'homo', '23.22.216.234')
(u'priceline.com', 'prigeline.com.', 'prigeline.com', u'bits', '52.52.18.176')
(u'priceline.com', 'pricaline.com.', 'pricaline.com', u'homo', '103.224.182.245')
(u'priceline.com', 'pricesline.com.', 'pricesline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pr5iceline.com.', 'pr5iceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'prieline.co.uk.', 'prieline.co.uk', u'typo', '64.106.229.221')
(u'priceline.com', 'priceline.com.br.', 'priceline.com.br', 'wrongTLD', '192.185.216.59')
(u'priceline.com', 'priceline.cz.', 'priceline.cz', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'priecline.com.', 'priecline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pric4line.com.', 'pric4line.com', u'typo', '52.86.163.26')
(u'priceline.com', 'prceline.com.', 'prceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelina.com.', 'pricelina.com', u'homo', '54.72.9.51')
(u'priceline.com', 'pricenine.com.', 'pricenine.com', u'bits', '208.73.211.177')
(u'priceline.com', 'priiceline.com.', 'priiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'peiceline.com.', 'peiceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelone.com.', 'pricelone.com', u'homo', '64.6.21.2')
(u'priceline.com', 'pricelinep.com.', 'pricelinep.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelins.com.', 'pricelins.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceline.dk.', 'priceline.dk', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'p-riceline.com.', 'p-riceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'pficeline.com.', 'pficeline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline.pw.', 'priceline.pw', 'wrongTLD', '103.232.215.143')
(u'priceline.com', 'prjiceline.com.', 'prjiceline.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pricelin3.com.', 'pricelin3.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricseline.com.', 'pricseline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'priceli9ne.com.', 'priceli9ne.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priceline.com.cn.', 'priceline.com.cn', 'wrongTLD', '23.27.192.117')
(u'priceline.com', 'priceline.ch.', 'priceline.ch', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'priceline.cn.', 'priceline.cn', 'wrongTLD', '23.27.192.117')
(u'priceline.com', 'pricelnie.com.', 'pricelnie.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pr4iceline.com.', 'pr4iceline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelinem.com.', 'pricelinem.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceliine.com.', 'priceliine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline.be.', 'priceline.be', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'pr5iceline.com.', 'pr5iceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priecline.com.', 'priecline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priceline.com.es.', 'priceline.com.es', 'wrongTLD', '64.6.28.2')
(u'priceline.com', 'priceliune.com.', 'priceliune.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricellne.com.', 'pricellne.com', u'homo', '23.22.216.234')
(u'priceline.com', 'pric4eline.com.', 'pric4eline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'priceline.pt.', 'priceline.pt', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'prikceline.com.', 'prikceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'p4riceline.com.', 'p4riceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelined.com.', 'pricelined.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelie.pw.', 'pricelie.pw', u'typo', '104.28.3.250')
(u'priceline.com', 'pricelinep.com.', 'pricelinep.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricdeline.com.', 'pricdeline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'rriceline.com.', 'rriceline.com', u'bits', '64.6.28.2')
(u'priceline.com', 'ppiceline.com.', 'ppiceline.com', u'bits', '52.52.18.176')
(u'priceline.com', 'prdiceline.com.', 'prdiceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelin3.com.', 'pricelin3.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelien.com.', 'pricelien.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricline.com.', 'pricline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pric3eline.com.', 'pric3eline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'price-line.net.', 'price-line.net', u'typo', '52.52.64.247')
(u'priceline.com', 'pricesline.net.', 'pricesline.net', u'typo', '185.53.178.7')
(u'priceline.com', 'priveline.com.', 'priveline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelinr.com.', 'pricelinr.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelibne.com.', 'pricelibne.com', u'typo', '64.6.28.2')
(u'priceline.com', 'prkceline.com.', 'prkceline.com', u'bits', '52.86.163.26')
(u'priceline.com', 'pr9celine.com.', 'pr9celine.com', u'typo', '52.52.18.176')
(u'priceline.com', 'praceline.com.', 'praceline.com', u'homo', '52.52.18.176')
(u'priceline.com', 'hutchison-priceline.com.', 'hutchison-priceline.com', 'combo', '23.22.216.234')
(u'priceline.com', 'pricelinhe.com.', 'pricelinhe.com', u'typo', '52.86.163.26')
(u'priceline.com', 'p5iceline.com.', 'p5iceline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceliine.com.', 'priceliine.com', u'typo', '52.52.64.247')
(u'priceline.com', 'prioceline.com.', 'prioceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelkine.com.', 'pricelkine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricel8ne.com.', 'pricel8ne.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricenine.com.', 'pricenine.com', u'bits', '208.73.210.202')
(u'priceline.com', 'pricelihne.com.', 'pricelihne.com', u'typo', '64.6.21.2')
(u'priceline.com', '0riceline.com.', '0riceline.com', u'bits', '52.86.163.26')
(u'priceline.com', 'pribeline.com.', 'pribeline.com', u'bits', '52.52.18.176')
(u'priceline.com', 'pricelinef.com.', 'pricelinef.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricelile.com.', 'pricelile.com', u'bits', '95.211.219.65')
(u'priceline.com', 'riceline.com.', 'riceline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'priceli8ne.com.', 'priceli8ne.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelile.com.', 'pricelile.com', u'bits', '95.211.219.67')
(u'priceline.com', 'pricelinez.com.', 'pricelinez.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelne.co.uk.', 'pricelne.co.uk', u'typo', '64.106.229.221')
(u'priceline.com', 'priceline-tickets.com.', 'priceline-tickets.com', 'combo', '64.6.21.2')
(u'priceline.com', 'p4riceline.com.', 'p4riceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'prjceline.com.', 'prjceline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricline.ca.', 'pricline.ca', u'typo', '208.73.210.217')
(u'priceline.com', '800-priceline.com.', '800-priceline.com', 'combo', '64.6.21.2')
(u'priceline.com', 'pric3eline.com.', 'pric3eline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricelinei.com.', 'pricelinei.com', u'typo', '192.185.16.246')
(u'priceline.com', 'pricesline.com.', 'pricesline.com', u'typo', '23.22.216.234')
(u'priceline.com', 'pricelkne.com.', 'pricelkne.com', u'bits', '52.52.64.247')
(u'priceline.com', 'pricelinhe.com.', 'pricelinhe.com', u'typo', '52.52.64.247')
(u'priceline.com', 'priceline.jobs.', 'priceline.jobs', 'wrongTLD', '64.6.21.2')
(u'priceline.com', 'priceline.co.jp.', 'priceline.co.jp', 'wrongTLD', '202.4.26.140')
(u'priceline.com', 'triceline.com.', 'triceline.com', u'bits', '64.6.28.2')
(u'priceline.com', 'pricelile.com.', 'pricelile.com', u'bits', '69.162.80.51')
(u'priceline.com', 'pricelini.com.', 'pricelini.com', u'homo', '52.52.18.176')
(u'priceline.com', 'pricelile.com.', 'pricelile.com', u'bits', '69.162.80.52')
(u'priceline.com', '1-800-priceline.com.', '1-800-priceline.com', 'combo', '64.6.21.2')
(u'priceline.com', 'pricelines.net.', 'pricelines.net', u'typo', '64.6.21.2')
(u'priceline.com', 'prieline.com.', 'prieline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pficeline.com.', 'pficeline.com', u'typo', '52.86.163.26')
(u'priceline.com', 'pricsline.com.', 'pricsline.com', u'typo', '52.52.64.247')
(u'priceline.com', 'pricemline.com.', 'pricemline.com', u'typo', '64.6.28.2')
(u'priceline.com', 'pricelife.com.', 'pricelife.com', u'bits', '208.91.197.91')
(u'priceline.com', 'pricepine.com.', 'pricepine.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline.eu.', 'priceline.eu', 'wrongTLD', '64.6.28.42')
(u'priceline.com', 'priceline.london.', 'priceline.london', 'wrongTLD', '88.214.207.96')
(u'priceline.com', 'priceline-blogger.com.', 'priceline-blogger.com', 'combo', '64.6.21.2')
(u'priceline.com', 'pricel9ne.com.', 'pricel9ne.com', u'typo', '52.52.18.176')
(u'priceline.com', 'pridceline.com.', 'pridceline.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelijne.com.', 'pricelijne.com', u'typo', '52.52.18.176')
(u'priceline.com', 'priceline.tk.', 'priceline.tk', 'wrongTLD', '195.20.42.175')
(u'priceline.com', 'pricelines.com.', 'pricelines.com', u'typo', '64.6.21.2')
(u'priceline.com', 'pricelile.com.', 'pricelile.com', u'bits', '69.162.80.57')
(u'priceline.com', 'pricelinee.com.', 'pricelinee.com', u'typo', '52.86.163.26')
(u'priceline.com', 'priceline.com.pl.', 'priceline.com.pl', 'wrongTLD', '64.6.28.42')
